lemma;total_frequency;total_ipm;reflexive_frequency;reflexive_ipm;reflexivity;semantic_compatibility;correct_valence;visual
projevovat;6176;51.1475422326441;4594;38.0459535325076;0.743847150259067;;;
prolínat;753;6.23609120809277;616;5.10150356465491;0.818061088977424;;;
proměňovat;1307;10.8241317516298;772;6.39344277908051;0.590665646518745;;;
řadit;2954;24.464028457777;1283;10.6253718724874;0.434326337169939;;;
rozbít;2503;20.728999062226;501;4.14911247709758;0.200159808230124;;;
rozeznít;603;4.99384196345278;426;3.52798785477759;0.706467661691542;;;
rozhodnout;33403;276.632343458065;22170;183.604438357791;0.663712840164057;;;
rozhodovat;6598;54.6424034408979;1776;14.7082310565375;0.269172476508033;;;
rozjet;3117;25.8139393036191;2056;17.0270963131989;0.659608598010908;;;
rozkládat;1667;13.8055299387658;1230;10.186443806048;0.737852429514097;;;
rozlévat;576;4.77023709941758;450;3.72674773391998;0.78125;;;
rozpínat;418;3.46173456173012;334;2.76607498473172;0.799043062200957;;;
rozpomenout;433;3.58595948619412;332;2.74951166146985;0.766743648960739;;;
rozpoutat;821;6.79924419899624;306;2.53418845906559;0.372716199756395;;;
rozptýlit;1082;8.96075788466983;340;2.81576495451732;0.314232902033272;;;
rozpustit;1533;12.6957872802207;473;3.91722595143145;0.308545335942596;;;
rozšířit;7094;58.7501076098408;2467;20.4308592435124;0.347758669297998;;;
roztřást;698;5.78059981839144;565;4.67913882147731;0.80945558739255;;;
roztříštit;485;4.01660589100265;291;2.40996353460159;0.6;;;
rozvádět;674;5.58183993924904;347;2.87373658593385;0.514836795252225;;;
rozvést;1454;12.041536011377;1020;8.44729486355196;0.701513067400275;;;
rozzářit;1296;10.7330334736896;1018;8.4307315402901;0.785493827160494;;;
sblížit;622;5.15119353444051;452;3.74331105718185;0.726688102893891;;;
scházet;4291;35.5366100583348;2079;17.2175745307103;0.484502446982055;;;
schovat;3988;33.027266584162;1478;12.2402958905194;0.37061183550652;;;
sevřít;3235;26.7911753760692;615;5.09322190302398;0.190108191653787;;;
seznámit;6266;51.8928917794281;4465;36.9776191821172;0.712575805936802;;;
sklonit;2944;24.3812118414676;1747;14.4680628692405;0.593410326086957;;;
slušet;2519;20.861505648321;590;4.88618036225065;0.234219928543073;;;
snížit;8247;68.2988634703069;2262;18.7331186091711;0.274281556929793;;;
soustředit;7061;58.47681277602;5821;48.2075523536627;0.824387480526837;;;
srážet;756;6.26093619298557;305;2.52590679743466;0.403439153439154;;;
stahovat;2065;17.1016312678773;768;6.36031613255677;0.371912832929782;;;
stát;182776;1513.68898625546;73226;606.432954586722;0.400632468157745;;;
stavět;6364;52.7044946192595;1789;14.8158926577397;0.281112507856694;;;
stavit;4317;35.7519332607391;1954;16.1823668268437;0.452629140606903;;;
stočit;1122;9.29202434990716;578;4.78680042267945;0.515151515151515;;;
svěřit;5000;41.4083081546665;2596;21.4991935939028;0.5192;;;
sypat;1019;8.43901320192103;378;3.13046809649279;0.370951913640824;;;
těšit;12774;105.789945673542;9973;82.5930114452978;0.780726475653671;;;
trápit;5762;47.7189343174377;1613;13.3583202106954;0.279937521693856;;;
ubytovat;1194;9.88830398733436;609;5.04353193323838;0.510050251256281;;;
udržet;9717;80.4729060677789;1933;16.0084519325941;0.198929710816096;;;
ukrývat;1822;15.0891874915605;1018;8.4307315402901;0.558726673984632;;;
uplatňovat;2781;23.0313009956255;1552;12.8531388512085;0.558072635742539;;;
uskutečňovat;862;7.1387923258645;441;3.65221277924158;0.511600928074246;;;
utápět;328;2.71638501494612;271;2.24433030198292;0.826219512195122;;;
uvolnit;5157;42.708529030723;2049;16.9691246817823;0.397324025596277;;;
uzavírat;2613;21.6399818416287;557;4.61288552842985;0.213164944508228;;;
uzdravit;994;8.2319716611477;679;5.62324824740371;0.683098591549296;;;
vejít;9705;80.3735261282077;3224;26.700077098129;0.33219989696033;;;
vídat;2171;17.9794874007562;762;6.31062616277117;0.350990327038231;;;
vrátit;46132;382.049614358215;38104;315.564434785082;0.825977629411255;;;
vybavovat;1767;14.6336961018591;423;3.50314286988478;0.239388794567063;;;
vyděsit;2003;16.5881682467594;509;4.21536577014505;0.254118821767349;;;
vyhrabat;745;6.16983791504531;317;2.62528673700586;0.425503355704698;;;
vyjadřovat;5474;45.3338157677289;1999;16.5550416002357;0.365180854950676;;;
vyjasnit;646;5.34995341358291;271;2.24433030198292;0.419504643962848;;;
vyplácet;1322;10.9483566760938;610;5.05181359486931;0.46142208774584;;;
vyplatit;4792;39.6857225354324;3464;28.6876758895529;0.722871452420701;;;
vyšplhat;1722;14.2610213284671;1147;9.49906589068049;0.666085946573751;;;
vystavovat;2072;17.1596028992938;385;3.18843972790932;0.185810810810811;;;
vytahovat;1957;16.2072118117365;334;2.76607498473172;0.170669391926418;;;
vytrhnout;2180;18.0540223554346;350;2.89858157082665;0.160550458715596;;;
vyvalit;523;4.33130903297811;327;2.70810335331519;0.625239005736138;;;
vzdávat;1703;14.1036697574794;1063;8.8034063136821;0.624192601291838;;;
vznést;1095;9.06841948587196;533;4.41412564928745;0.48675799086758;;;
zakousnout;684;5.66465655555838;567;4.69570214473918;0.828947368421053;;;
zamotat;580;4.80336374594131;363;3.00624317202879;0.625862068965517;;;
zaplést;825;6.83237084551997;567;4.69570214473918;0.687272727272727;;;
zapojit;4994;41.3586181848809;2793;23.1306809351967;0.55927112535042;;;
zapojovat;928;7.6853819935061;613;5.07665857976211;0.660560344827586;;;
zastavit;20708;171.496649053367;10384;85.9967743756114;0.501448715472281;;;
zavazovat;759;6.28578117787837;289;2.39340021133972;0.380764163372859;;;
zdržovat;1813;15.0146525368821;1140;9.44109425926396;0.628792057363486;;;
zlepšit;4614;38.2115867651262;2035;16.8531814189493;0.441048981361075;;;
změnit;26276;217.608941014403;12202;101.052835220648;0.464378139747298;;;
zmenšit;1227;10.1615988211552;658;5.44933335315411;0.536267318663407;;;
zmínit;6897;57.118620268547;3332;27.5944965542697;0.483108597941134;;;
zobrazovat;1896;15.7020304522495;462;3.82612767349118;0.243670886075949;;;
zpomalit;2043;16.9194347119967;317;2.62528673700586;0.155163974547234;;;
ztotožňovat;527;4.36443567950185;331;2.74122999983892;0.628083491461101;;;
zvedat;4542;37.615307127699;2130;17.6399392738879;0.468956406869221;;;
