"dělat";75480;625.0998199028453;3298;27.31292005881802;0.04369369369369369
"dohodnout";4641;38.43519162916144;3844;31.834707309307596;0.8282697694462401
"domluvit";4046;33.507602958756124;2321;19.221736645396184;0.5736529906080079
"dostavit";2705;22.401894711674572;2642;21.880150028925772;0.9767097966728281
"dotýkat";3828;31.702200723212666;3620;29.97961510397854;0.9456635318704284
"hlásit";5802;48.050200782675;2741;22.70003453038817;0.47242330230954843
"jevit";4706;38.973499635172104;3945;32.671155134031864;0.8382915427114322
"mluvit";48180;399.0104573783663;3941;32.63802848750813;0.08179742631797426
"modlit";3055;25.300476282501226;2926;24.23214193211083;0.9577741407528642
"mýlit";2646;21.913276675449506;2566;21.250743744974844;0.9697656840513983
"nabízet";23951;198.35407772248342;2984;24.712478306704963;0.12458769988726984
"nadechnout";3449;28.563450965088947;3268;27.06447020989002;0.947521020585677
"naklonit";4129;34.19498087412359;2957;24.488873442669764;0.7161540324533785
"napít";2867;23.743523895885765;2470;20.455704228405246;0.8615277293337984
"nazývat";6973;57.74802655249789;2577;21.34184202291511;0.3695683350064535
"obejít";5096;42.20334767123609;3102;25.68971437915509;0.608712715855573
"obracet";3360;27.82638307993588;2299;19.039540089515654;0.6842261904761905
"odehrát";5652;46.807951538035;3229;26.74148540628362;0.5713021939136589
"odmlčet";2730;22.608936252447904;2724;22.559246282662304;0.9978021978021978
"odrážet";4192;34.71672555687238;2120;17.557122657578592;0.5057251908396947
"odvážit";2673;22.136881539484705;2225;18.42669712882659;0.8323980546202768
"ohlédnout";2379;19.702073019990316;2308;19.114075044194053;0.9701555275325767
"omlouvat";3582;29.664911962003075;3031;25.101716403358825;0.846175321049693
"opakovat";10222;84.65514519140018;2930;24.265268578634565;0.28663666601447857
"opírat";3350;27.74356646362655;3053;25.28391295923936;0.9113432835820896
"opřít";4990;41.325491538357156;3782;31.321244288189735;0.7579158316633267
"ozývat";2681;22.20313483253217;2583;21.39153199270071;0.9634464751958225
"počítat";15023;124.41540268151094;2479;20.530239183083648;0.16501364574319377
"pohnout";4555;37.72296872890117;2985;24.720759968335894;0.6553238199780461
"potkat";9553;79.1147135603058;2419;20.03333948522765;0.2532188841201717
"považovat";24699;204.54876062242153;2228;18.451542113719388;0.09020608121786307
"prodávat";9154;75.8103305695634;2691;22.285951448841505;0.29396984924623115
"proměnit";6722;55.66932948313363;3588;29.714601931788675;0.5337697113954181
"představit";23959;198.42033101553088;3671;30.401979847156138;0.15322008431069745
"přestěhovat";3008;24.91123818584736;2397;19.851142929347116;0.796875
"přesunout";4028;33.35853304939933;2348;19.445341509431383;0.5829195630585898
"přesvědčit";11740;97.22670754715692;2323;19.23829996865805;0.19787052810902897
"přiblížit";6177;51.15582389427498;3750;31.056231115999868;0.6070908207867897
"přidat";15018;124.37399437335627;3606;29.86367184114547;0.2401118657610867
"přihlásit";4415;36.56353610057051;3636;30.112121690073472;0.8235560588901473
"připojit";6453;53.44156250441257;3185;26.377092294522555;0.4935688826902216
"připravit";23314;193.0786592635789;2474;20.48883087492898;0.10611649652569272
"připravovat";9464;78.37764567515273;3487;28.87815410706441;0.3684488588334742
"přiznat";10699;88.60549778935535;2597;21.507475255533777;0.24273296569772876
"psát";26224;217.17829460959481;3193;26.443345587570022;0.12175869432580842
"radovat";2853;23.6275806330527;2739;22.683471207126303;0.9600420609884333
"rozběhnout";2812;23.288032506184436;2641;21.87186836729484;0.9391891891891891
"rozesmát";2953;24.45574679614603;2225;18.42669712882659;0.7534710463934982
"rozhlédnout";3422;28.339846101053745;3343;27.685594832210015;0.9769140853302163
"rozloučit";3202;26.51788054224842;3031;25.101716403358825;0.9465958775765146
"rozšířit";7094;58.75010760984082;2467;20.430859243512447;0.3477586692979983
"řídit";11158;92.40678047795375;3182;26.352247309629753;0.28517655493816096
"shodnout";2581;21.374968669438843;2540;21.035420542570577;0.9841146842309183
"skládat";4816;39.88448241457476;2847;23.577890663267098;0.5911544850498339
"skrývat";6097;50.49329096380032;3149;26.078952475808954;0.5164835164835165
"snížit";8247;68.29886347030691;2262;18.73311860917112;0.27428155692979267
"spojit";9543;79.03189694399646;2396;19.84286126771618;0.2510740857172797
"stydět";3555;29.441307097967876;3347;27.718721478733748;0.9414908579465542
"svěřit";5000;41.40830815466649;2596;21.49919359390284;0.5192
"šířit";4043;33.48275797386332;2595;21.49091193227191;0.6418501113034875
"táhnout";7479;61.93854733775014;2396;19.84286126771618;0.3203636849846236
"točit";5237;43.37106196119768;2713;22.46814800472204;0.5180446820698873
"třást";3504;29.018942354790276;3007;24.902956524216428;0.858162100456621
"ujmout";2892;23.950565436659097;2819;23.346004137600968;0.9747579529737206
"ukazovat";15511;128.4568535574064;2442;20.223817702739115;0.1574366578557153
"uklidnit";4264;35.313005194299585;2170;17.971205739125256;0.5089118198874296
"usadit";4517;37.40826558692571;3636;30.112121690073472;0.8049590436130175
"vědět";151747;1256.7173075092353;2151;17.813854168137524;0.014174909553401385
"vejít";9705;80.37352612820766;3224;26.700077098128954;0.33219989696032975
"vidět";99270;822.1205501027486;2459;20.36460595046498;0.024770827037372822
"vrhnout";5867;48.58850878868566;3991;33.052111569054794;0.680245440599966
"vyhýbat";3884;32.16597377454493;3629;30.05415005865694;0.934346035015448
"vyjádřit";7974;66.03796984506212;2709;22.435021358198306;0.3397291196388262
"vynořit";2780;23.02301933399457;2714;22.47642966635297;0.9762589928057553
"vyplatit";4792;39.68572253543236;3464;28.687675889552946;0.7228714524207012
"vyrábět";7978;66.07109649158585;2622;21.71451679630711;0.32865379794434696
