"order","lemma","transitive_frequency","transitive_ipm"
174,"prohlédnout",3090,30.6430372950159
175,"vypadat",3089,30.6331204544674
176,"připomenout",3081,30.553785730079
177,"zrušit",3081,30.553785730079
178,"zahlédnout",3079,30.5339520489819
179,"učinit",3066,30.4050331218508
180,"rozšířit",3062,30.3653657596566
181,"určit",3054,30.2860310352682
182,"sehnat",3051,30.2562805136225
183,"odložit",3048,30.2265299919769
184,"činit",3031,30.0579437026515
185,"vydávat",3023,29.9786089782632
186,"posílat",3018,29.9290247755204
187,"přivést",3017,29.9191079349719
188,"vyměnit",3014,29.8893574133262
189,"odstranit",3013,29.8794405727777
190,"volit",3012,29.8695237322291
191,"stanovit",3010,29.849690051132
192,"přijímat",3005,29.8001058483893
193,"potkat",2985,29.6017690374183
194,"chránit",2975,29.5026006319328
195,"zachovat",2966,29.4133490669959
196,"vyjádřit",2951,29.2645964587676
197,"předat",2935,29.1059270099909
198,"vyzkoušet",2925,29.0067586045054
199,"existovat",2914,28.8976733584713
200,"sloužit",2914,28.8976733584713
201,"snižovat",2910,28.8580059962771
202,"vysvětlit",2909,28.8480891557286
203,"absolvovat",2907,28.8282554746315
204,"žít",2900,28.7588375907917
205,"zahrnovat",2876,28.5208334176265
206,"muset",2843,28.1935776795244
207,"přežít",2836,28.1241597956845
208,"navrhnout",2825,28.0150745496505
209,"vybudovat",2801,27.7770703764853
210,"zkoumat",2787,27.6382346088056
211,"hodnotit",2770,27.4696483194803
212,"myslet",2768,27.4498146383832
213,"stisknout",2753,27.301062030155
214,"zničit",2746,27.2316441463151
215,"pořádat",2744,27.211810465218
216,"vyrábět",2731,27.0828915380869
217,"napadnout",2717,26.9440557704072
218,"zjistit",2705,26.8250536838246
219,"prožívat",2670,26.4779642646254
220,"zasloužit",2664,26.4184632213341
221,"žádat",2663,26.4085463807856
222,"snášet",2661,26.3887126996885
223,"kupovat",2657,26.3490453374943
224,"pochopit",2648,26.2597937725573
225,"ovládat",2647,26.2498769320088
226,"zachytit",2644,26.2201264103631
227,"obdržet",2617,25.9523717155523
228,"sbírat",2605,25.8333696289697
229,"sundat",2587,25.6548664990959
230,"nastavit",2580,25.585448615256
231,"probíhat",2572,25.5061138908676
232,"slavit",2567,25.4565296881249
233,"porazit",2565,25.4366960070278
234,"přát",2547,25.2581928771539
235,"plánovat",2544,25.2284423555083
236,"vydržet",2537,25.1590244716684
237,"vzbudit",2529,25.07968974728
238,"vyprávět",2519,24.9805213417945
239,"prožít",2517,24.9606876606974
240,"vykazovat",2505,24.8416855741149
241,"sebrat",2494,24.7326003280808
242,"jíst",2485,24.6433487631439
243,"vložit",2476,24.5540971982069
244,"vzniknout",2472,24.5144298360127
245,"mívat",2465,24.4450119521729
246,"doplnit",2458,24.3755940683331
247,"zanechat",2458,24.3755940683331
248,"chystat",2453,24.3260098655903
249,"schválit",2443,24.2268414601048
250,"projevit",2437,24.1673404168135
251,"zaslechnout",2434,24.1375898951679
252,"složit",2431,24.1078393735222
253,"upravit",2431,24.1078393735222
254,"překročit",2429,24.0880056924251
255,"vymyslet",2418,23.9789204463911
256,"omezit",2415,23.9491699247455
257,"začínat",2415,23.9491699247455
258,"pocítit",2410,23.8995857220027
259,"odmítat",2383,23.6318310271919
260,"pamatovat",2381,23.6119973460948
261,"předvést",2367,23.4731615784151
262,"způsobovat",2350,23.3045752890898
263,"zajímat",2339,23.1954900430557
264,"naplnit",2326,23.0665711159246
265,"ocenit",2320,23.0070700726333
266,"označovat",2317,22.9773195509877
267,"vyrobit",2309,22.8979848265993
268,"otevírat",2292,22.729398537274
269,"kontrolovat",2290,22.7095648561769
270,"vyjadřovat",2286,22.6698974939827
271,"popadnout",2284,22.6500638128856
272,"zůstat",2283,22.640146972337
273,"obsadit",2274,22.5508954074001
274,"prokázat",2273,22.5409785668515
275,"požádat",2269,22.5013112046573
276,"uspořádat",2265,22.4616438424631
277,"opakovat",2255,22.3624754369776
278,"natočit",2255,22.3624754369776
279,"zavolat",2237,22.1839723071038
280,"rozdělit",2229,22.1046375827154
281,"odnést",2228,22.0947207421668
282,"zasáhnout",2219,22.0054691772299
283,"učit",2216,21.9757186555842
284,"sdílet",2210,21.9162176122929
285,"přivézt",2208,21.8963839311958
286,"obrátit",2199,21.8071323662589
287,"vysvětlovat",2199,21.8071323662589
288,"splňovat",2198,21.7972155257104
289,"uvolnit",2190,21.717880801322
290,"užít",2190,21.717880801322
291,"vykonávat",2188,21.6980471202249
292,"spojovat",2183,21.6484629174821
293,"objednat",2173,21.5492945119966
294,"přerušit",2163,21.4501261065112
295,"ovládnout",2143,21.2517892955402
296,"stavět",2141,21.2319556144431
297,"vědět",2127,21.0931198467634
298,"uložit",2122,21.0435356440207
299,"patřit",2110,20.9245335574381
300,"projít",2109,20.9146167168895
301,"vyjít",2109,20.9146167168895
302,"zlepšit",2104,20.8650325141468
303,"vyhlásit",2093,20.7559472681127
304,"mluvit",2089,20.7162799059185
305,"uslyšet",2087,20.6964462248214
306,"oznámit",2086,20.6865293842729
307,"otočit",2066,20.4881925733019
308,"požadovat",2064,20.4683588922048
309,"realizovat",2063,20.4584420516563
310,"zapálit",2048,20.309689443428
311,"sehrát",2041,20.2402715595882
312,"odpovídat",2039,20.2204378784911
313,"provozovat",2036,20.1906873568454
314,"ucítit",2000,19.8336810970977
315,"umístit",1999,19.8237642565491
316,"dokázat",1989,19.7245958510637
317,"přesvědčit",1989,19.7245958510637
318,"zahrát",1984,19.6750116483209
319,"spojit",1981,19.6452611266753
320,"opouštět",1974,19.5758432428354
321,"chytit",1966,19.496508518447
322,"konat",1962,19.4568411562528
323,"naučit",1957,19.4072569535101
324,"nechávat",1952,19.3576727507673
325,"proměnit",1951,19.3477559102188
326,"zvedat",1949,19.3279222291217
327,"vyslovit",1949,19.3279222291217
328,"zveřejnit",1942,19.2585043452819
329,"strčit",1926,19.0998348965051
330,"skrývat",1922,19.0601675343109
331,"sevřít",1921,19.0502506937623
332,"určovat",1911,18.9510822882768
333,"počítat",1904,18.881664404437
334,"respektovat",1890,18.7428286367573
335,"navštěvovat",1890,18.7428286367573
336,"hlídat",1890,18.7428286367573
337,"zastávat",1889,18.7329117962088
338,"komentovat",1888,18.7229949556602
339,"definovat",1887,18.7130781151117
340,"dovolit",1886,18.7031612745631
341,"posílit",1879,18.6337433907233
342,"provázet",1870,18.5444918257863
343,"předložit",1866,18.5048244635921
344,"svírat",1862,18.4651571013979
345,"utrpět",1861,18.4552402608494
346,"přicházet",1845,18.2965708120726
347,"ukrást",1836,18.2073192471357
348,"ponechat",1823,18.0784003200045
349,"nalít",1813,17.9792319145191
350,"pracovat",1801,17.8602298279365
351,"objevovat",1795,17.8007287846452
352,"nazývat",1794,17.7908119440966
353,"vystudovat",1785,17.7015603791597
354,"dodržovat",1785,17.7015603791597
355,"sedět",1781,17.6618930169655
356,"budovat",1764,17.4933067276402
357,"pokládat",1764,17.4933067276402
358,"bránit",1759,17.4437225248974
359,"pokrývat",1753,17.3842214816061
360,"ležet",1753,17.3842214816061
361,"vyvinout",1748,17.3346372788634
362,"proběhnout",1748,17.3346372788634
363,"oslavit",1746,17.3148035977663
364,"vyrazit",1743,17.2850530761206
365,"zkusit",1740,17.255302554475
366,"končit",1736,17.2156351922808
367,"vypnout",1724,17.0966331056982
368,"doplňovat",1721,17.0668825840526
369,"zlomit",1714,16.9974647002127
370,"předpokládat",1707,16.9280468163729
371,"odvést",1706,16.9181299758243
372,"odrážet",1705,16.9082131352758
373,"ušetřit",1698,16.8387952514359
374,"táhnout",1692,16.7792942081446
375,"zpívat",1691,16.7693773675961
376,"nabrat",1675,16.6107079188193
377,"oslovit",1670,16.5611237160766
378,"přitáhnout",1666,16.5214563538824
379,"zakrýt",1665,16.5115395133338
380,"doprovázet",1660,16.4619553105911
381,"zařadit",1639,16.2537016590716
382,"rozvíjet",1636,16.2239511374259
383,"měřit",1627,16.134699572489
384,"vyndat",1624,16.1049490508433
385,"přejít",1621,16.0751985291977
386,"vybavit",1621,16.0751985291977
387,"dopřát",1618,16.045448007552
388,"budit",1613,15.9958638048093
389,"pozvat",1611,15.9760301237122
390,"slibovat",1608,15.9462796020665
391,"obnovit",1599,15.8570280371296
392,"obdivovat",1599,15.8570280371296
393,"připadat",1588,15.7479427910956
394,"chodit",1585,15.7181922694499
395,"informovat",1578,15.6487743856101
396,"vyžádat",1577,15.6388575450615
397,"zkoušet",1577,15.6388575450615
398,"uskutečnit",1562,15.4901049368333
399,"spáchat",1555,15.4206870529935
400,"navázat",1554,15.4107702124449
401,"rozhodnout",1554,15.4107702124449
402,"posunout",1550,15.3711028502507
403,"charakterizovat",1533,15.2025165609254
404,"chovat",1533,15.2025165609254
405,"sestavit",1532,15.1925997203768
406,"prodloužit",1528,15.1529323581826
407,"zopakovat",1526,15.1330986770855
408,"zkontrolovat",1525,15.123181836537
409,"zvládat",1524,15.1132649959884
410,"chybět",1524,15.1132649959884
411,"postrádat",1524,15.1132649959884
412,"pokrýt",1524,15.1132649959884
413,"projevovat",1521,15.0835144743428
414,"zapnout",1519,15.0636807932457
415,"potvrzovat",1518,15.0537639526971
416,"vycházet",1498,14.8554271417262
417,"zdobit",1498,14.8554271417262
