"","lemma","reflexivity","total_ipm"
"134","vsadit",0.369691414604339,32.4578191154004
"135","vydávat",0.290069423483248,65.7089854746847
"136","vyjádřit",0.339729119638826,79.0768865341285
"137","vyjadřovat",0.365180854950676,54.2847851627564
"138","vyplatit",0.722871452420701,47.5214999086461
"139","vypravit",0.655991363799928,27.5588998844172
"140","vyrábět",0.328653797944347,79.1165538963227
"141","vyrovnat",0.582216088328076,50.2982152622397
"142","vyvíjet",0.648800179412424,44.2191920059793
"143","vyvinout",0.378396894268098,43.4258447620954
"144","vzbudit",0.211966604823748,42.7614164453426
"145","vzdát",0.634838709677419,61.4844114010028
"146","zachovat",0.328032592981995,75.4572397339082
"147","zakládat",0.242161716171617,24.0384214896824
"148","zaměřit",0.614521557941978,61.8711681823962
"149","zamilovat",0.732293697205978,30.5240352084333
"150","zamyslet",0.760889430399025,32.5569875208859
"151","zapojit",0.55927112535042,49.5247016994529
"152","zapsat",0.291854666350036,41.7598155499392
"153","zarazit",0.546066372708285,42.731665923697
"154","zavírat",0.219785138764548,22.1542217854581
"155","zbavit",0.656691203089176,82.1808576258243
"156","zlepšit",0.441048981361075,45.7563022910044
"157","zlepšovat",0.423364075537989,22.5806459290457
"158","zlobit",0.762166405023548,37.9021645765537
"159","zlomit",0.237412364563416,31.1190456413463
"160","zmínit",0.483108597941134,68.3964492633414
"161","zmiňovat",0.473029045643154,28.6795028664033
"162","zobrazit",0.277337559429477,25.0301055445373
"163","zranit",0.348577235772358,29.2745132993162
"164","ztrácet",0.21811761510254,73.0176969589651
"165","zvedat",0.468956406869221,45.0422897715089
"166","zvýšit",0.322347437805656,93.2778021996504
"167","zvyšovat",0.350503256364713,66.998174745996
"168","živit",0.622204888195528,38.1401687497189
