"","lemma","reflexivity","total_ipm"
"1","dělit",0.473261418407161,43.2076742700273
"2","děsit",0.300207039337474,23.9491699247455
"3","diskutovat",0.20223932820154,28.3423302877526
"4","domluvit",0.573652990608008,40.1235368594286
"5","donést",0.233348436792025,21.8864670906473
"6","dopustit",0.606351108448173,33.102413751056
"7","hádat",0.58232077764277,32.6462390858228
"8","hájit",0.245963912630579,20.8848661952439
"9","hlásit",0.472423302309548,57.5375088626804
"10","hnát",0.468462549277267,30.1868626297827
"11","hnout",0.556318681318681,21.6583797580307
"12","honit",0.548639926233287,21.5096271498024
"13","hýbat",0.687869822485207,26.8151368432761
"14","chytat",0.206010452961672,22.7690658994681
"15","chytit",0.210106382978723,70.8459088788329
"16","chytnout",0.244771863117871,20.8650325141468
"17","inspirovat",0.326260677872692,35.9882143506838
"18","kroutit",0.301940369143398,20.9542840790837
"19","lámat",0.236476783149832,20.7162799059185
"20","léčit",0.303915275994865,30.9008751492782
"21","líbat",0.255674518201285,23.1558226808616
"22","naklonit",0.716154032453378,40.9466346249582
"23","naplnit",0.200855531790784,51.0023109411867
"24","natáčet",0.228648892905558,21.9459681339386
"25","natáhnout",0.346269655403145,59.282872799225
"26","nazývat",0.369568335006453,69.1501291450311
"27","obejít",0.608712715855573,50.5362194354049
"28","obléknout",0.345050505050505,24.5441803576584
"29","obracet",0.68422619047619,33.3205842431241
"30","obtěžovat",0.333795654184004,21.4501261065112
"31","oddělit",0.210106382978723,26.1011243237806
"32","odebrat",0.394943330427201,22.749232218371
"33","odehrát",0.571302193913659,56.0499827803981
"34","odhadovat",0.27,33.7172578650661
"35","odrážet",0.505725190839695,41.5713955795168
"36","odtáhnout",0.323364485981308,21.2220387738945
"37","odvolat",0.317152103559871,24.5144298360127
"38","odvrátit",0.417991329479769,27.4498146383832
"39","ohlásit",0.217803886127429,21.9459681339386
"40","omezovat",0.282615337610755,32.4578191154004
"41","omluvit",0.761816838995569,26.8548042054703
"42","opřít",0.757915831663327,49.4850343372587
"43","orientovat",0.641879562043796,21.7377144824191
"44","otáčet",0.62246835443038,31.3372161334144
"45","otevírat",0.377423033067275,43.4853458053867
"46","otvírat",0.306013363028953,22.2633070314922
"47","označovat",0.229127432517263,63.1901079753532
"48","pěstovat",0.263106796116505,30.6430372950159
"49","plést",0.556650246305419,26.1705422076204
"50","pohnout",0.655323819978046,45.17120869864
"51","ponořit",0.590254237288136,23.4037436945753
"52","posunout",0.428297821402921,41.4226429712885
"53","potkat",0.253218884120172,94.7355777602871
"54","pouštět",0.358737071311922,36.4344721753685
"55","prát",0.522682445759369,20.1113526324571
"56","prezentovat",0.24802671523983,32.6660727669199
"57","probírat",0.316742081447964,24.1078393735222
"58","probrat",0.421630094043887,31.6347213498708
"59","probudit",0.617431604126177,66.3337464292432
"60","prodávat",0.293969849246231,90.7787583814161
"61","projevit",0.658884565499351,68.8129565663804
"62","projevovat",0.743847150259067,61.2464072278377
"63","proměnit",0.533769711395418,66.6610021673453
"64","propadnout",0.41166025451317,33.5090042135465
"65","prosadit",0.447357293868922,46.906655794636
"66","prosazovat",0.305750350631136,28.2828292444613
"67","protáhnout",0.563074659801398,26.9638894515043
"68","provádět",0.206099413935316,91.3737688143291
"69","přenášet",0.273796398382947,26.9837231326014
"70","přenést",0.239732012816778,34.0445136031682
"71","přestěhovat",0.796875,29.8298563700349
"72","přesunout",0.58291956305859,39.9450337295547
"73","přiblížit",0.60709082078679,61.2563240683862
"74","přibližovat",0.561769616026711,23.760749954323
"75","přidávat",0.334438000552334,35.9088796262954
"76","připojit",0.493568882690222,63.9933720597857
"77","připravovat",0.368448858833474,93.8529789514663
"78","přitisknout",0.249820014398848,27.5489830438687
"79","přizpůsobit",0.460731414868106,33.0825800699589
"80","rodit",0.661945583302274,26.6068831917566
"81","rozbít",0.200159808230124,24.8218518930178
"82","rozesmát",0.753471046393498,29.2844301398647
"83","rozhodovat",0.269172476508033,65.4313139393253
"84","rozjet",0.659608598010908,30.9107919898267
"85","rozsvítit",0.40395358831113,23.0764879564732
"86","rozšířit",0.347758669297998,70.3500668514055
"87","rozšiřovat",0.364175977653631,28.4018313310439
"88","rozvíjet",0.37456405487096,42.6523311993086
"89","řadit",0.434326337169939,29.2943469804133
"90","sejít",0.716616523952789,85.7013360205591
"91","seznámit",0.712575805936802,62.1389228772071
"92","scházet",0.484502446982055,42.5531627938231
"93","schovat",0.37061183550652,39.5483601076128
"94","schovávat",0.513364446330081,23.3739931729296
"95","skládat",0.591154485049834,47.7595040818112
"96","sklonit",0.593410326086957,29.1951785749278
"97","skrývat",0.516483516483517,60.4629768245023
"98","slušet",0.234219928543073,24.9805213417945
"99","snést",0.243581514762516,30.9008751492782
"100","snížit",0.274281556929793,81.7841840038823
"101","snižovat",0.281840591618735,48.2751797903358
"102","spojit",0.25107408571728,94.6364093548016
"103","spoléhat",0.334039548022599,28.0844924334903
"104","srazit",0.251863857374392,30.5934530922732
"105","stáhnout",0.263380281690141,70.4095678946968
"106","stahovat",0.371912832929782,20.4782757327534
"107","stavět",0.281112507856694,63.1107732509648
"108","stavit",0.452629140606903,42.8110006480854
"109","střídat",0.529156327543424,31.9718939285215
"110","svěřit",0.5192,49.5842027427442
"111","šířit",0.641850111303487,40.093786337783
"112","táhnout",0.320363684984624,74.1680504625968
"113","tajit",0.385874649204864,21.2022050927974
"114","těžit",0.247980997624703,20.8749493546953
"115","tisknout",0.243252716438836,28.2927460850099
"116","tlačit",0.20880195599022,40.5598778435648
"117","točit",0.518044682069887,51.9344939527503
