"dělat";75480;3298;0.04369369369369369
"dohodnout";4641;3844;0.8282697694462401
"domluvit";4046;2321;0.5736529906080079
"dostavit";2705;2642;0.9767097966728281
"dotýkat";3828;3620;0.9456635318704284
"hlásit";5802;2741;0.47242330230954843
"jevit";4706;3945;0.8382915427114322
"mluvit";48180;3941;0.08179742631797426
"modlit";3055;2926;0.9577741407528642
"mýlit";2646;2566;0.9697656840513983
"nabízet";23951;2984;0.12458769988726984
"nadechnout";3449;3268;0.947521020585677
"naklonit";4129;2957;0.7161540324533785
"napít";2867;2470;0.8615277293337984
"nazývat";6973;2577;0.3695683350064535
"obejít";5096;3102;0.608712715855573
"obracet";3360;2299;0.6842261904761905
"odehrát";5652;3229;0.5713021939136589
"odmlčet";2730;2724;0.9978021978021978
"odrážet";4192;2120;0.5057251908396947
"odvážit";2673;2225;0.8323980546202768
"ohlédnout";2379;2308;0.9701555275325767
"omlouvat";3582;3031;0.846175321049693
"opakovat";10222;2930;0.28663666601447857
"opírat";3350;3053;0.9113432835820896
"opřít";4990;3782;0.7579158316633267
"ozývat";2681;2583;0.9634464751958225
"počítat";15023;2479;0.16501364574319377
"pohnout";4555;2985;0.6553238199780461
"potkat";9553;2419;0.2532188841201717
"považovat";24699;2228;0.09020608121786307
"prodávat";9154;2691;0.29396984924623115
"proměnit";6722;3588;0.5337697113954181
"představit";23959;3671;0.15322008431069745
"přestěhovat";3008;2397;0.796875
"přesunout";4028;2348;0.5829195630585898
"přesvědčit";11740;2323;0.19787052810902897
"přiblížit";6177;3750;0.6070908207867897
"přidat";15018;3606;0.2401118657610867
"přihlásit";4415;3636;0.8235560588901473
"připojit";6453;3185;0.4935688826902216
"připravit";23314;2474;0.10611649652569272
"připravovat";9464;3487;0.3684488588334742
"přiznat";10699;2597;0.24273296569772876
"psát";26224;3193;0.12175869432580842
"radovat";2853;2739;0.9600420609884333
"rozběhnout";2812;2641;0.9391891891891891
"rozesmát";2953;2225;0.7534710463934982
"rozhlédnout";3422;3343;0.9769140853302163
"rozloučit";3202;3031;0.9465958775765146
"rozšířit";7094;2467;0.3477586692979983
"řídit";11158;3182;0.28517655493816096
"shodnout";2581;2540;0.9841146842309183
"skládat";4816;2847;0.5911544850498339
"skrývat";6097;3149;0.5164835164835165
"snížit";8247;2262;0.27428155692979267
"spojit";9543;2396;0.2510740857172797
"stydět";3555;3347;0.9414908579465542
"svěřit";5000;2596;0.5192
"šířit";4043;2595;0.6418501113034875
"táhnout";7479;2396;0.3203636849846236
"točit";5237;2713;0.5180446820698873
"třást";3504;3007;0.858162100456621
"ujmout";2892;2819;0.9747579529737206
"ukazovat";15511;2442;0.1574366578557153
"uklidnit";4264;2170;0.5089118198874296
"usadit";4517;3636;0.8049590436130175
"vědět";151747;2151;0.014174909553401385
"vejít";9705;3224;0.33219989696032975
"vidět";99270;2459;0.024770827037372822
"vrhnout";5867;3991;0.680245440599966
"vyhýbat";3884;3629;0.934346035015448
"vyjádřit";7974;2709;0.3397291196388262
"vynořit";2780;2714;0.9762589928057553
"vyplatit";4792;3464;0.7228714524207012
"vyrábět";7978;2622;0.32865379794434696
"vyrovnat";5072;2953;0.5822160883280757
"vyvíjet";4459;2893;0.6488001794124243
"vyznačovat";2644;2376;0.8986384266263238
"vzdát";6200;3936;0.6348387096774194
"vzít";44928;2275;0.05063657407407408
"vznášet";2567;2313;0.901051811453058
"vztahovat";2745;2408;0.8772313296903461
"zadívat";4035;4003;0.9920693928128872
"zachovat";7609;2496;0.328032592981995
"zaměřit";6239;3834;0.6145215579419779
"zaměřovat";2686;2474;0.921072226358898
"zamilovat";3078;2254;0.7322936972059779
"zapojit";4994;2793;0.5592711253504205
"zarazit";4309;2353;0.546066372708285
"zlobit";3822;2913;0.7621664050235479
"zmínit";6897;3332;0.4831085979411338
"zmocnit";2526;2346;0.9287410926365796
"znát";41323;2669;0.06458872782711807
"ztratit";15636;3259;0.208429265796879
"zvedat";4542;2130;0.46895640686922063
"zvýšit";9406;3032;0.32234743780565595
"zvyšovat";6756;2368;0.35050325636471286
"živit";3846;2393;0.6222048881955278
"bát";19260;17591;0.913343717549325
"bavit";14077;6927;0.49207927825531006
"blížit";6804;6697;0.9842739564961788
"bránit";11022;4675;0.4241516966067864
"cítit";39322;14480;0.3682416967600834
"dařit";9101;8874;0.9750576859685749
"dát";112636;40766;0.361926915018289
"dít";14291;13677;0.9570358967182142
"dívat";25804;25024;0.9697721283521935
"divit";5034;4907;0.9747715534366309
"dočkat";6683;6516;0.975011222504863
"domnívat";7579;7540;0.9948542024013722
"dostat";82781;35414;0.42780348147521774
"dostávat";12059;4932;0.40898913674434034
"dotknout";7812;6899;0.8831285202252944
"dozvědět";11663;11328;0.9712766869587585
"držet";26017;7090;0.27251412537955955
"hodit";14942;8341;0.5582251371971624
"hrát";49537;4054;0.08183781819649959
"chovat";13912;11147;0.8012507188039103
"chtít";189887;5385;0.028358971388246695
"chystat";12166;8239;0.6772151898734177
"jednat";26822;19198;0.7157557229140258
"jmenovat";14099;10041;0.7121781686644443
"konat";10395;8858;0.8521404521404521
"líbit";18295;17338;0.9476906258540585
"lišit";7498;7336;0.9783942384635903
"měnit";16219;8597;0.5300573401566064
"mít";734066;11149;0.015188007617843627
"moci";411376;4376;0.010637470343432771
"muset";200381;8188;0.04086215758979145
"nacházet";16115;12297;0.7630778777536457
"najít";61257;4780;0.07803189839528543
"narodit";9620;8880;0.9230769230769231
"naučit";13345;8801;0.6594979393031097
"nechat";54787;5305;0.096829539854345
