"1";"aktivovat";"1274";""
"2";"červenat";"393";""
"3";"dožívat";"394";""
"4";"hnusit";"291";""
"5";"kamarádit";"500";""
"6";"klanět";"323";""
"7";"kolébat";"428";""
"8";"kombinovat";"2269";""
"9";"křížit";"418";""
"10";"míjet";"2155";""
"11";"minout";"2687";""
"12";"mrknout";"1910";""
"13";"mstít";"336";""
"14";"mýt";"1083";""
"15";"nahrnout";"362";""
"16";"napnout";"648";""
"17";"navrátit";"612";""
"18";"nedostávat";"306";""
"19";"nutit";"6399";""
"20";"obnovit";"2731";""
"21";"oddat";"525";""
"22";"odlepit";"415";""
"23";"opozdit";"330";""
"24";"patřit";"44727";""
"25";"péci";"2050";""
"26";"podepisovat";"990";""
"27";"podřizovat";"401";""
"28";"podvolit";"324";""
"29";"porozhlédnout";"316";""
"30";"postupovat";"5096";""
"31";"posunovat";"614";""
"32";"poškrábat";"470";""
"33";"prohloubit";"761";""
"34";"prohýbat";"346";""
"35";"propojit";"2375";""
"36";"předávat";"2326";""
"37";"přehoupnout";"333";""
"38";"přehrabovat";"338";""
"39";"přetahovat";"412";""
"40";"přetrhnout";"515";""
"41";"přidržovat";"853";""
"42";"přilepit";"981";""
"43";"připlést";"281";""
"44";"připomínat";"13364";""
"45";"rozkřiknout";"303";""
"46";"rozlišovat";"2485";""
"47";"rozložit";"2019";""
"48";"rozpoutat";"821";""
"49";"roztrhnout";"804";""
"50";"roztříštit";"485";""
"51";"rozzlobit";"535";""
"52";"sjíždět";"867";""
"53";"sledovat";"23428";""
"54";"spálit";"1840";""
"55";"spouštět";"1661";""
"56";"srážet";"756";""
"57";"srovnávat";"1890";""
"58";"stanovit";"6966";""
"59";"střetávat";"298";""
"60";"střílet";"3360";""
"61";"svírat";"2911";""
"62";"škrábat";"786";""
"63";"šourat";"284";""
"64";"udávat";"1812";""
"65";"udusit";"547";""
"66";"upravit";"5041";""
"67";"upravovat";"2686";""
"68";"utápět";"328";""
"69";"utvářet";"1055";""
"70";"vkládat";"1650";""
"71";"vozit";"2094";""
"72";"vybírat";"7140";""
"73";"vyčerpat";"1478";""
"74";"vycházet";"14619";""
"75";"vyjasnit";"646";""
"76";"vymezovat";"1100";""
"77";"vypínat";"742";""
"78";"vypnout";"2970";""
"79";"vysílat";"2620";""
"80";"vysvětlit";"15907";""
"81";"vyškrábat";"411";""
"82";"vyžadovat";"10448";""
"83";"zabránit";"6111";""
"84";"zadrhnout";"323";""
"85";"zaleknout";"298";""
"86";"zaplnit";"1840";""
"87";"zasadit";"1771";""
"88";"zastydět";"315";""
"89";"zatáhnout";"1894";""
"90";"zavazovat";"759";""
"91";"zhostit";"319";""
"92";"zkrátit";"1552";""
"93";"zkusit";"11211";""
"94";"zmýlit";"345";""
"95";"zotavovat";"285";""
"96";"zpracovávat";"2092";""
"97";"zrcadlit";"517";""
"98";"zřeknout";"282";""
"99";"zříci";"293";""
"100";"zúžit";"634";""
