Column1,lemma,reflexivity,total_ipm,is_sem_compatible,is_anticausative,uses_double_accusative,is_visual,is_only_reflexive,is_reciprocal
94,přidávat,0.334438000552334,35.9088796262954,T,F,T,F,F,
95,připojit,0.493568882690222,63.9933720597857,T,F,F,F,F,
96,připravovat,0.368448858833474,93.8529789514663,T,F,F,F,F,
97,přitisknout,0.249820014398848,27.5489830438687,T,F,T,T,F,
98,přiznat,0.242732965697729,106.100277028924,T,F,F,F,F,
99,přizpůsobit,0.460731414868106,33.0825800699589,T,F,F,F,F,
100,pustit,0.384736082344819,158.005020460029,T,F,F,F,F,
101,rodit,0.661945583302274,26.6068831917566,T,T,F,T,F,
102,rozbít,0.200159808230124,24.8218518930178,T,T,F,T,F,
103,rozesmát,0.753471046393498,29.2844301398647,T,F,F,T,F,
104,rozhodnout,0.663712840164057,331.252224843177,T,F,F,F,F,
105,rozhodovat,0.269172476508033,65.4313139393253,T,F,F,F,F,
106,rozjet,0.659608598010908,30.9107919898267,F,F,F,F,F,
107,rozsvítit,0.40395358831113,23.0764879564732,T,T,F,T,F,
108,rozšířit,0.347758669297998,70.3500668514055,T,T,F,F,F,
109,rozšiřovat,0.364175977653631,28.4018313310439,T,T,F,F,F,
110,rozvíjet,0.37456405487096,42.6523311993086,T,F,F,F,F,
111,řadit,0.434326337169939,29.2943469804133,T,F,F,F,F,
112,řídit,0.285176554938161,110.652106840708,T,F,F,T,F,
113,sejít,0.716616523952789,85.7013360205591,T,F,F,F,T,T
114,seznámit,0.712575805936802,62.1389228772071,T,F,F,F,F,T
115,scházet,0.484502446982055,42.5531627938231,F,F,F,F,F,T
116,schovat,0.37061183550652,39.5483601076128,T,F,T,T,F,
117,schovávat,0.513364446330081,23.3739931729296,T,F,T,T,F,
118,skládat,0.591154485049834,47.7595040818112,T,T,F,T,F,
119,sklonit,0.593410326086957,29.1951785749278,T,F,F,F,F,
120,skrývat,0.516483516483517,60.4629768245023,T,F,F,T,F,
121,slušet,0.234219928543073,24.9805213417945,T,T,F,F,F,
122,snést,0.243581514762516,30.9008751492782,F,F,F,F,F,
123,snížit,0.274281556929793,81.7841840038823,F,F,F,F,F,
124,snižovat,0.281840591618735,48.2751797903358,T,F,F,F,F,
125,spojit,0.25107408571728,94.6364093548016,T,F,F,F,F,
126,spoléhat,0.334039548022599,28.0844924334903,T,F,F,F,F,
127,srazit,0.251863857374392,30.5934530922732,T,F,F,F,F,
128,stáhnout,0.263380281690141,70.4095678946968,T,F,F,F,F,
129,stahovat,0.371912832929782,20.4782757327534,T,F,F,F,F,
130,stavět,0.281112507856694,63.1107732509648,T,F,F,F,F,
131,stavit,0.452629140606903,42.8110006480854,F,F,F,F,F,
132,střídat,0.529156327543424,31.9718939285215,T,F,F,F,F,
133,svěřit,0.5192,49.5842027427442,T,F,F,F,F,
134,šířit,0.641850111303487,40.093786337783,T,F,F,F,F,
135,táhnout,0.320363684984624,74.1680504625968,T,F,T,T,F,
136,tajit,0.385874649204864,21.2022050927974,T,T,F,F,F,
137,těšit,0.780726475653671,126.677721167163,T,F,F,T,F,
138,těžit,0.247980997624703,20.8749493546953,T,T,F,T,F,
139,tisknout,0.243252716438836,28.2927460850099,F,F,F,T,F,
140,tlačit,0.20880195599022,40.5598778435648,T,F,F,T,F,
141,točit,0.518044682069887,51.9344939527503,T,F,F,T,F,
142,trápit,0.279937521693856,57.1408352407384,T,F,F,F,F,
143,trefit,0.428979708488139,34.6990250793724,T,F,T,F,F,
144,učit,0.551142882358133,112.367720255607,T,F,F,T,F,
145,ujistit,0.365217391304348,37.6344098817429,T,F,F,F,F,
146,ukázat,0.299831344868511,317.517400683437,T,F,F,F,F,
147,ukládat,0.220979940808944,30.157112108137,T,T,T,F,F,
148,uklidnit,0.50891181988743,42.2854080990123,T,F,F,F,F,
149,ulevit,0.606767794632439,25.4961970503191,T,F,F,F,F,
150,uplatnit,0.418597063621533,30.3951162813022,T,F,F,F,F,
151,uplatňovat,0.558072635742539,27.5787335655143,T,F,F,F,F,
152,uskutečnit,0.689307228915663,65.8478212423643,T,T,F,F,F,
153,uvolnit,0.397324025596277,51.1411467088664,T,F,F,F,F,
154,uzavírat,0.213164944508228,25.9127043533581,T,F,F,F,F,
155,vázat,0.308507003758114,29.0265922856025,F,F,F,F,F,
156,vejít,0.33219989696033,96.2429375236665,T,F,F,F,F,
157,věnovat,0.524484414728317,210.61385957008,F,F,F,F,F,
158,vídat,0.350990327038231,21.5294608308995,T,F,F,F,F,
159,vrhat,0.409234947940244,21.9063007717444,T,F,F,T,F,
160,vrhnout,0.680245440599966,58.1821034983361,T,F,F,T,F,
161,vsadit,0.369691414604339,32.4578191154004,T,F,F,F,F,
162,vydat,0.512723845428841,210.435356440206,T,F,F,F,F,
163,vydávat,0.290069423483248,65.7089854746847,F,F,F,F,F,
164,vyjádřit,0.339729119638826,79.0768865341285,T,F,F,F,F,
165,vyjadřovat,0.365180854950676,54.2847851627564,T,F,F,F,F,
166,vyplatit,0.722871452420701,47.5214999086461,F,F,F,F,F,
167,vypravit,0.655991363799928,27.5588998844172,T,F,F,F,F,
168,vyrábět,0.328653797944347,79.1165538963227,T,T,F,F,F,
169,vyrovnat,0.582216088328076,50.2982152622397,T,F,F,F,F,
170,vyvíjet,0.648800179412424,44.2191920059793,T,F,F,F,F,
171,vyvinout,0.378396894268098,43.4258447620954,T,F,F,F,F,
172,vzbudit,0.211966604823748,42.7614164453426,T,F,F,F,F,
173,vzdát,0.634838709677419,61.4844114010028,T,F,F,F,F,
174,zachovat,0.328032592981995,75.4572397339082,T,F,F,F,F,
175,zajímat,0.309537088678193,160.028055931933,T,T,F,F,F,
176,zakládat,0.242161716171617,24.0384214896824,T,F,F,F,F,
177,zaměřit,0.614521557941978,61.8711681823962,T,F,F,F,F,
178,zamilovat,0.732293697205978,30.5240352084333,T,F,F,F,T,
179,zamyslet,0.760889430399025,32.5569875208859,T,F,F,F,T,
180,zapojit,0.55927112535042,49.5247016994529,T,F,F,F,F,
181,zapsat,0.291854666350036,41.7598155499392,T,F,T,T,F,
182,zarazit,0.546066372708285,42.731665923697,F,F,F,F,F,
183,zastavit,0.501448715472281,205.357934079349,T,F,F,T,F,
184,zavírat,0.219785138764548,22.1542217854581,T,T,F,T,F,
185,zbavit,0.656691203089176,82.1808576258243,T,F,F,F,F,
186,zlepšit,0.441048981361075,45.7563022910044,T,F,F,F,F,
187,zlepšovat,0.423364075537989,22.5806459290457,T,F,F,F,F,
188,zlobit,0.762166405023548,37.9021645765537,F,F,F,F,F,
189,zlomit,0.237412364563416,31.1190456413463,T,T,F,T,F,
190,změnit,0.464378139747298,260.574902253669,T,F,F,F,F,
191,zmínit,0.483108597941134,68.3964492633414,T,F,F,F,F,
192,zmiňovat,0.473029045643154,28.6795028664033,T,F,F,F,F,
193,zobrazit,0.277337559429477,25.0301055445373,T,T,F,F,F,
194,zranit,0.348577235772358,29.2745132993162,T,F,F,T,F,
195,ztrácet,0.21811761510254,73.0176969589651,T,F,F,F,F,
196,ztratit,0.208429265796879,155.05971881711,T,F,F,T,F,
197,zvedat,0.468956406869221,45.0422897715089,T,F,F,T,F,
198,zvednout,0.271690133006845,178.195707816874,T,F,F,T,F,
199,zvýšit,0.322347437805656,93.2778021996504,T,T,F,F,F,
200,zvyšovat,0.350503256364713,66.998174745996,T,T,F,F,F,
201,živit,0.622204888195528,38.1401687497189,T,F,F,F,F,
