order,lemma,frequency,ipm
"238","stavět","1789"
"239","posunout","1789"
"240","přihodit","1788"
"241","rodit","1776"
"242","rozhodovat","1776"
"243","sklonit","1747"
"244","zrodit","1716"
"245","střídat","1706"
"246","procházet","1698"
"247","spokojit","1695"
"248","předpokládat","1692"
"249","očekávat","1683"
"250","vyvinout","1657"
"251","otevírat","1655"
"252","trápit","1613"
"253","rozvíjet","1611"
"254","ztrácet","1606"
"255","ušklíbnout","1571"
"256","pochlubit","1570"
"257","ulevit","1560"
"258","vytratit","1558"
"259","vypořádat","1557"
"260","uplatňovat","1552"
"261","lesknout","1551"
"262","být","1540"
"263","přizpůsobit","1537"
"264","protáhnout","1531"
"265","nést","1527"
"266","chlubit","1527"
"267","zbláznit","1526"
"268","rozpadnout","1522"
"269","čekat","1517"
"270","trefit","1501"
"271","chytit","1501"
"272","stěhovat","1492"
"273","odstěhovat","1486"
"274","schovat","1478"
"275","plést","1469"
"276","označovat","1460"
"277","hnát","1426"
"278","řítit","1426"
"279","zahledět","1424"
"280","dokázat","1421"
"281","uvidět","1420"
"282","poznat","1412"
"283","orientovat","1407"
"284","zdržet","1405"
"285","ponořit","1393"
"286","propadnout","1391"
"287","odvíjet","1390"
"288","ujistit","1386"
"289","odrazit","1380"
"290","brát","1380"
"291","snižovat","1372"
"292","dovědět","1371"
"293","zmiňovat","1368"
"294","řešit","1365"
"295","valit","1359"
"296","spolehnout","1358"
"297","rozplakat","1351"
"298","pracovat","1348"
"299","válet","1348"
"300","přibližovat","1346"
"301","probrat","1345"
"302","uvádět","1343"
"303","podělit","1333"
"304","zavřít","1331"
"305","loučit","1323"
"306","zatvářit","1322"
"307","pouštět","1318"
"308","vyspat","1313"
"309","hovořit","1304"
"310","doporučovat","1302"
"311","tvořit","1298"
"312","zachvět","1285"
"313","uplatnit","1283"
"314","řadit","1283"
"315","podivit","1275"
"316","utkat","1263"
"317","chopit","1257"
"318","osvědčit","1254"
"319","stýskat","1238"
"320","milovat","1234"
"321","rozkládat","1230"
"322","zapsat","1229"
"323","říci","1222"
"324","dávat","1217"
"325","hnout","1215"
"326","přidávat","1211"
"327","schovávat","1210"
"328","vsadit","1210"
"329","dočíst","1208"
"330","potvrdit","1191"
"331","honit","1190"
"332","začínat","1188"
"333","dožít","1184"
"334","inspirovat","1184"
"335","stýkat","1176"
"336","pamatovat","1169"
"337","vytvářet","1159"
"338","odvrátit","1157"
"339","zřítit","1147"
"340","vyšplhat","1147"
"341","najíst","1143"
"342","zdržovat","1140"
"343","vyskytnout","1138"
"344","prodat","1128"
"345","podepsat","1124"
"346","koukat","1124"
"347","hrnout","1119"
"348","hledat","1112"
"349","platit","1111"
"350","střetnout","1111"
"351","otázat","1108"
"352","vzdalovat","1108"
"353","nudit","1108"
"354","ubránit","1100"
"355","rýsovat","1099"
"356","naskytnout","1095"
"357","přestat","1082"
"358","specializovat","1081"
"359","rovnat","1069"
"360","užívat","1063"
"361","vzdávat","1063"
"362","zařadit","1063"
"363","ucházet","1062"
"364","prát","1060"
"365","odlišovat","1056"
"366","nastěhovat","1047"
"367","sklánět","1044"
"368","jet","1044"
"369","rozšiřovat","1043"
"370","vybavit","1039"
"371","promítat","1034"
"372","naplnit","1033"
"373","rozpadat","1032"
"374","pousmát","1030"
"375","tyčit","1030"
"376","zranit","1029"
"377","rozvést","1020"
"378","ukrývat","1018"
"379","rozzářit","1018"
"380","svézt","1014"
"381","zamlouvat","1013"
"382","vdát","1012"
"383","probouzet","1008"
"384","dochovat","1001"
"385","dohadovat","991"
"386","mísit","989"
"387","rozdělit","988"
"388","projít","979"
"389","provdat","973"
"390","zlepšovat","964"
"391","oblékat","964"
"392","rozplynout","958"
"393","vzdálit","956"
"394","podávat","953"
"395","potit","953"
"396","léčit","947"
"397","spoléhat","946"
"398","spustit","942"
"399","uchýlit","941"
"400","rozsvítit","940"
"401","zjevit","936"
"402","pyšnit","927"
"403","angažovat","926"
"404","omezovat","925"
"405","leknout","925"
"406","narovnat","921"
"407","odhadovat","918"
"408","vzbudit","914"
"409","ohlížet","912"
"410","otřást","911"
"411","odebrat","906"
"412","vrhat","904"
"413","koupat","904"
"414","vázat","903"
"415","proslavit","900"
"416","drát","886"
"417","poučit","884"
"418","umístit","877"
"419","žít","877"
"420","ocitat","875"
"421","prosazovat","872"
"422","ovládat","871"
"423","odhodlat","862"
"424","plazit","858"
"425","obléknout","854"
"426","tlačit","854"
"427","rozumět","852"
"428","utopit","852"
"429","ubírat","851"
"430","zhoršit","849"
"431","vyrovnávat","844"
"432","vyvarovat","839"
"433","houpat","835"
"434","udát","835"
"435","vložit","835"
"436","uklonit","834"
"437","uzavřít","833"
"438","přijít","831"
"439","ohradit","828"
"440","tajit","825"
"441","rozhostit","824"
"442","chodit","824"
"443","přenést","823"
"444","prezentovat","817"
"445","dožadovat","817"
"446","shromáždit","816"
"447","soustřeďovat","815"
"448","pěstovat","813"
"449","dozvídat","812"
"450","svěřovat","812"
