"order","lemma","reflexive_frequency","reflexive_ipm"
173,"vidět",2459,24.3855109088816
174,"ukazovat",2442,24.2169246195563
175,"potkat",2419,23.9888372869397
176,"vztahovat",2408,23.8797520409056
177,"přestěhovat",2397,23.7706667948716
178,"táhnout",2396,23.760749954323
179,"spojit",2396,23.760749954323
180,"živit",2393,23.7309994326774
181,"vyznačovat",2376,23.5624131433521
182,"zvyšovat",2368,23.4830784189637
183,"zarazit",2353,23.3343258107354
184,"přesunout",2348,23.2847416079927
185,"zmocnit",2346,23.2649079268956
186,"přesvědčit",2323,23.036820594279
187,"domluvit",2321,23.0169869131819
188,"vznášet",2313,22.9376521887935
189,"ohlédnout",2308,22.8880679860507
190,"obracet",2299,22.7988164211138
191,"vzít",2275,22.5608122479486
192,"snížit",2262,22.4318933208175
193,"zamilovat",2254,22.3525585964291
194,"považovat",2228,22.0947207421668
195,"odvážit",2225,22.0649702205212
196,"rozesmát",2225,22.0649702205212
197,"uklidnit",2170,21.519543990351
198,"vědět",2151,21.3311240199286
199,"zvedat",2130,21.122870368409
200,"odrážet",2120,21.0237019629235
201,"prosadit",2116,20.9840346007294
202,"rozhlížet",2115,20.9741177601808
203,"smířit",2097,20.7956146303069
204,"scházet",2079,20.617111500433
205,"využívat",2077,20.597277819336
206,"natáhnout",2070,20.5278599354961
207,"omluvit",2063,20.4584420516563
208,"dělit",2062,20.4485252111077
209,"smět",2058,20.4088578489135
210,"rozjet",2056,20.3890241678164
211,"oženit",2050,20.3295231245251
212,"uvolnit",2049,20.3196062839766
213,"zlepšit",2035,20.1807705162969
214,"dopustit",2024,20.0716852702629
215,"udělat",2018,20.0121842269716
216,"vyjadřovat",1999,19.8237642565491
217,"zhroutit",1986,19.694845329418
218,"vést",1969,19.5262590400927
219,"otáčet",1967,19.5064253589956
220,"stavit",1954,19.3775064318644
221,"shodovat",1934,19.1791696208935
222,"udržet",1933,19.1692527803449
223,"jít",1929,19.1295854181507
224,"vydávat",1922,19.0601675343109
225,"chvět",1920,19.0403338532138
226,"hádat",1917,19.0105833315681
227,"provádět",1899,18.8320802016943
228,"zamračit",1889,18.7329117962088
229,"stáhnout",1870,18.5444918257863
230,"potýkat",1863,18.4750739419465
231,"vyptávat",1861,18.4552402608494
232,"hýbat",1860,18.4453234203009
233,"rozejít",1847,18.3164044931697
234,"vzpamatovat",1846,18.3064876526212
235,"vypravit",1823,18.0784003200045
236,"vytvořit",1823,18.0784003200045
237,"vyznat",1823,18.0784003200045
238,"stavět",1789,17.7412277413539
239,"posunout",1789,17.7412277413539
240,"přihodit",1788,17.7313109008053
241,"rodit",1776,17.6123088142228
242,"rozhodovat",1776,17.6123088142228
243,"sklonit",1747,17.3247204383148
244,"zrodit",1716,17.0172983813098
245,"střídat",1706,16.9181299758243
246,"procházet",1698,16.8387952514359
247,"spokojit",1695,16.8090447297903
248,"předpokládat",1692,16.7792942081446
249,"očekávat",1683,16.6900426432077
250,"vyvinout",1657,16.4322047889454
251,"otevírat",1655,16.4123711078483
252,"trápit",1613,15.9958638048093
253,"rozvíjet",1611,15.9760301237122
254,"ztrácet",1606,15.9264459209694
255,"ušklíbnout",1571,15.5793565017702
256,"pochlubit",1570,15.5694396612217
257,"ulevit",1560,15.4702712557362
258,"vytratit",1558,15.4504375746391
259,"vypořádat",1557,15.4405207340906
260,"uplatňovat",1552,15.3909365313478
261,"lesknout",1551,15.3810196907993
262,"být",1540,15.2719344447652
263,"přizpůsobit",1537,15.2421839231196
264,"protáhnout",1531,15.1826828798283
265,"nést",1527,15.1430155176341
266,"chlubit",1527,15.1430155176341
267,"zbláznit",1526,15.1330986770855
268,"rozpadnout",1522,15.0934313148913
269,"čekat",1517,15.0438471121486
270,"trefit",1501,14.8851776633718
271,"chytit",1501,14.8851776633718
272,"stěhovat",1492,14.7959260984349
273,"odstěhovat",1486,14.7364250551436
274,"schovat",1478,14.6570903307552
275,"plést",1469,14.5678387658183
276,"označovat",1460,14.4785872008813
277,"hnát",1426,14.1414146222307
278,"řítit",1426,14.1414146222307
279,"zahledět",1424,14.1215809411336
280,"dokázat",1421,14.0918304194879
281,"uvidět",1420,14.0819135789394
282,"poznat",1412,14.002578854551
283,"orientovat",1407,13.9529946518082
284,"zdržet",1405,13.9331609707111
285,"ponořit",1393,13.8141588841285
286,"propadnout",1391,13.7943252030314
287,"odvíjet",1390,13.7844083624829
288,"ujistit",1386,13.7447410002887
