dostavit se;2705;2642;0.9767097966728281
dotýkat se;3828;3620;0.9456635318704284
modlit se;3055;2926;0.9577741407528642
napít se;2867;2470;0.8615277293337984
odmlčet se;2730;2724;0.9978021978021978
odvážit se;2673;2225;0.8323980546202768
ohlédnout se;2379;2308;0.9701555275325767
ozývat se;2681;2583;0.9634464751958225
radovat se;2853;2739;0.9600420609884333
rozhlédnout se;3422;3343;0.9769140853302163
shodnout se;2581;2540;0.9841146842309183
stydět se;3555;3347;0.9414908579465542
vyhýbat se;3884;3629;0.934346035015448
zadívat se;4035;4003;0.9920693928128872
zamilovat se;3078;2254;0.7322936972059779
bát se;19260;17591;0.913343717549325
blížit se;6804;6697;0.9842739564961788
dařit se;9101;8874;0.9750576859685749
dít se;14291;13677;0.9570358967182142
dívat se;25804;25024;0.9697721283521935
divit se;5034;4907;0.9747715534366309
domnívat se;7579;7540;0.9948542024013722
dotknout se;7812;6899;0.8831285202252944
dozvědět se;11663;11328;0.9712766869587585
hodit se;14942;8341;0.5582251371971624
jmenovat se;14099;10041;0.7121781686644443
líbit se;18295;17338;0.9476906258540585
narodit se;9620;8880;0.9230769230769231
obávat se;5221;5113;0.9793143076039073
ocitnout se;6374;6280;0.9852525886413555
ozvat se;10935;10797;0.9873799725651577
podařit se;24603;24429;0.9929276917449091
podílet se;7370;7316;0.9926729986431478
podívat se;34361;31607;0.9198509938593172
podobat se;4353;4195;0.9637031932000919
postarat se;5953;5393;0.9059297833025365
povést se;6568;5931;0.9030146163215591
ptát se;18191;17780;0.9774064097630697
setkat se;11068;10864;0.9815684857246115
setkávat se;4264;4221;0.9899155722326454
smát se;10891;10389;0.9539068956018731
snažit se;45894;43586;0.9497102017692944
starat se;8605;8401;0.9762928529924463
stát se;182776;73226;0.400632468157745
stávat se;12289;11131;0.9057693872568964
tvářit se;4338;4146;0.9557399723374828
týkat se;13853;13779;0.9946581967804807
účastnit se;4263;4189;0.9826413323950269
usmát se;12232;12013;0.9820961412688032
usmívat se;6469;6248;0.9658370690987788
vyhnout se;6318;5789;0.9162709718265274
vyskytovat se;7184;7090;0.9869153674832962
zabývat se;10882;10784;0.9909943025179195
zasmát se;6126;5992;0.9781260202415932
zdát se;29975;29603;0.9875896580483736
zeptat se;35240;34404;0.9762769580022701
zúčastnit se;5480;5399;0.9852189781021898
dovědět se;1444;1371;0.9494459833795014
chlubit se;1584;1527;0.9640151515151515
lesknout se;1580;1551;0.9816455696202532
pochlubit se;1640;1570;0.9573170731707317
přihodit se;2154;1788;0.83008356545961
rozhlížet se;2171;2115;0.9742054352832796
rozpadnout se;1584;1522;0.9608585858585859
řítit se;1464;1426;0.9740437158469946
shodovat se;1953;1934;0.9902713773681515
spokojit se;1959;1695;0.8652373660030628
ušklíbnout se;1582;1571;0.993046776232617
vyptávat se;1957;1861;0.9509453244762391
vzpamatovat se;1975;1846;0.9346835443037975
zahledět se;1468;1424;0.9700272479564033
zamračit se;1936;1889;0.9757231404958677
dohadovat se;1081;991;0.9167437557816837
dochovat se;1126;1001;0.88898756660746
loučit se;1351;1323;0.9792746113989638
najíst se;1532;1143;0.7460835509138382
naskytnout se;1104;1095;0.9918478260869565
otázat se;1115;1108;0.9937219730941704
podivit se;1283;1275;0.9937646141855028
rozpadat se;1114;1032;0.926391382405745
rozplynout se;1020;958;0.9392156862745098
specializovat se;1135;1081;0.9524229074889868
stýkat se;1233;1176;0.9537712895377128
stýskat se;1378;1238;0.8984034833091437
ucházet se;1099;1062;0.9663330300272975
uchýlit se;973;941;0.9671120246659815
utkat se;1407;1263;0.8976545842217484
vyskytnout se;1155;1138;0.9852813852813853
vyspat se;1536;1313;0.8548177083333334
zřítit se;1182;1147;0.9703891708967851
dozvídat se;818;812;0.9926650366748166
hemžit se;828;807;0.9746376811594203
ocitat se;880;875;0.9943181818181818
octnout se;832;809;0.9723557692307693
odhodlat se;1172;862;0.735494880546075
odvažovat se;893;750;0.8398656215005599
ohlížet se;959;912;0.9509906152241918
ohradit se;899;828;0.9210233592880979
pohádat se;790;765;0.9683544303797469
pyšnit se;957;927;0.9686520376175548
rozplývat se;840;805;0.9583333333333334
udát se;881;835;0.9477866061293984
vyvarovat se;933;839;0.8992497320471597
zalíbit se;841;793;0.9429250891795482
domáhat se;634;612;0.9652996845425867
hroutit se;681;627;0.920704845814978
linout se;612;589;0.9624183006535948
poprat se;734;687;0.9359673024523161
přít se;676;564;0.834319526627219
rozrůst se;642;627;0.9766355140186916
toulat se;725;688;0.9489655172413793
vloupat se;604;569;0.9420529801324503
zdráhat se;616;556;0.9025974025974026
rozrůstat se;491;456;0.9287169042769857
tázat se;616;525;0.8522727272727273
uchylovat se;506;495;0.9782608695652174
vydařit se;502;492;0.9800796812749004
zdařit se;474;465;0.9810126582278481
dovídat se;380;376;0.9894736842105263
podivovat se;387;378;0.9767441860465116
dostavovat se;352;325;0.9232954545454546
dovolat se;492;360;0.7317073170731707
zúčastňovat se;353;340;0.9631728045325779
zřeknout se;282;273;0.9680851063829787
zříci se;293;264;0.9010238907849829
