order,lemma,frequency
"278","strávit","8866"
"279","viz","8811"
"280","pít","8734"
"281","navštívit","8721"
"282","procházet","8706"
"283","nastat","8668"
"284","sejít","8642"
"285","starat","8605"
"286","promluvit","8584"
"287","spatřit","8578"
"288","zachránit","8534"
"289","žádat","8413"
"290","poskytnout","8388"
"291","dovést","8343"
"292","uzavřít","8342"
"293","připomenout","8295"
"294","zbavit","8287"
"295","snížit","8247"
"296","prodat","8238"
"297","poznamenat","8154"
"298","doplnit","8137"
"299","sdělit","8132"
"300","zbývat","8126"
"301","nahradit","8112"
"302","popisovat","8110"
"303","nastoupit","8108"
"304","trpět","8101"
"305","odjet","8045"
"306","přikývnout","8007"
"307","zpívat","7994"
"308","vyrábět","7978"
"309","vyjádřit","7974"
"310","narazit","7934"
"311","chránit","7916"
"312","vystoupit","7915"
"313","klást","7848"
"314","zažít","7841"
"315","dotknout","7812"
"316","uvědomovat","7810"
"317","přežít","7802"
"318","přečíst","7717"
"319","děkovat","7684"
"320","pohlédnout","7639"
"321","zachovat","7609"
"322","umístit","7591"
"323","domnívat","7579"
"324","spočívat","7565"
"325","sednout","7564"
"326","studovat","7563"
"327","lišit","7498"
"328","táhnout","7479"
"329","souviset","7448"
"330","informovat","7429"
"331","hledět","7428"
"332","proběhnout","7379"
"333","podílet","7370"
"334","ztrácet","7363"
"335","přivést","7333"
"336","odmítat","7320"
"337","označit","7214"
"338","vyskytovat","7184"
"339","utéci","7154"
"340","chytit","7144"
"341","ovlivnit","7143"
"342","vybírat","7140"
"343","vybavit","7129"
"344","uložit","7116"
"345","stáhnout","7100"
"346","rozšířit","7094"
"347","odcházet","7091"
"348","viset","7061"
"349","soustředit","7061"
"350","toužit","7053"
"351","spustit","7053"
"352","zaujmout","6989"
"353","nazývat","6973"
"354","pořídit","6972"
"355","stanovit","6966"
"356","projevit","6939"
"357","upozornit","6923"
"358","plánovat","6911"
"359","zmínit","6897"
"360","vyvolat","6835"
"361","hodlat","6806"
"362","blížit","6804"
"363","spadnout","6794"
"364","zahájit","6785"
"365","křičet","6775"
"366","poradit","6766"
"367","zvyšovat","6756"
"368","rozdělit","6756"
"369","splnit","6732"
"370","proměnit","6722"
"371","padat","6711"
"372","učinit","6695"
"373","podávat","6692"
"374","prozradit","6690"
"375","probudit","6689"
"376","dočkat","6683"
"377","zavést","6666"
"378","doporučovat","6650"
"379","uskutečnit","6640"
"380","vydávat","6626"
"381","rozhodovat","6598"
"382","dokončit","6582"
"383","povést","6568"
"384","zaznamenat","6554"
"385","nechávat","6550"
"386","vyřešit","6511"
"387","zasáhnout","6483"
"388","usmívat","6469"
"389","připojit","6453"
"390","podepsat","6441"
"391","nutit","6399"
"392","ocitnout","6374"
"393","označovat","6372"
"394","stavět","6364"
"395","odhalit","6348"
"396","zbýt","6336"
"397","vyhnout","6318"
"398","převzít","6294"
"399","vyzkoušet","6284"
"400","zajít","6280"
"401","seznámit","6266"
"402","zaměřit","6239"
"403","vzdát","6200"
"404","přiblížit","6177"
"405","projevovat","6176"
"406","povědět","6167"
"407","stihnout","6165"
"408","podpořit","6161"
"409","zamířit","6136"
"410","udržovat","6132"
"411","zasmát","6126"
"412","vystupovat","6126"
"413","zabránit","6111"
"414","skrývat","6097"
"415","volit","6092"
"416","pozvat","6087"
"417","dosahovat","6079"
"418","zkoušet","6059"
"419","zasloužit","6008"
"420","vyrobit","6003"
"421","ovlivňovat","6003"
"422","natáhnout","5978"
"423","bolet","5969"
"424","hodnotit","5968"
"425","postarat","5953"
"426","chybit","5946"
"427","spojovat","5903"
"428","koukat","5903"
"429","plnit","5900"
"430","zničit","5895"
"431","ovládat","5895"
"432","mířit","5886"
"433","spolupracovat","5885"
"434","odstranit","5885"
"435","přistoupit","5873"
"436","vrhnout","5867"
"437","mlčet","5834"
"438","přispět","5830"
"439","vymyslet","5824"
"440","stoupat","5809"
"441","vyplývat","5805"
"442","snášet","5804"
"443","hlásit","5802"
"444","trávit","5781"
"445","zahrát","5773"
"446","trápit","5762"
"447","prokázat","5747"
"448","vložit","5733"
"449","prohlédnout","5681"
"450","zahrnovat","5671"
"451","ukončit","5664"
"452","odehrát","5652"
"453","slíbit","5651"
"454","sáhnout","5649"
"455","konstatovat","5642"
"456","předat","5603"
"457","zahlédnout","5596"
"458","zachytit","5586"
"459","omezit","5574"
"460","prohlížet","5556"
"461","zařadit","5549"
"462","umřít","5545"
"463","zavrtět","5528"
"464","vážit","5512"
"465","zúčastnit","5480"
"466","zrušit","5480"
"467","vyjadřovat","5474"
"468","přijímat","5427"
"469","překonat","5423"
"470","vařit","5414"
"471","slibovat","5400"
"472","posílat","5385"
"473","vládnout","5356"
"474","zajišťovat","5350"
"475","pravit","5311"
"476","klesnout","5307"
"477","realizovat","5286"
"478","točit","5237"
"479","užít","5236"
"480","obávat","5221"
"481","vyměnit","5211"
"482","prohrát","5195"
"483","zírat","5160"
"484","uvolnit","5157"
"485","zkoumat","5151"
"486","naplnit","5143"
"487","ušetřit","5132"
"488","porazit","5113"
"489","postupovat","5096"
"490","obejít","5096"
"491","odvézt","5077"
"492","vyrovnat","5072"
"493","ocenit","5069"
"494","měřit","5066"
"495","sehnat","5064"
"496","dospět","5059"
"497","pořádat","5043"
"498","upravit","5041"
"499","divit","5034"
"500","letět","5027"
"501","získávat","5001"
"502","svěřit","5000"
"503","zapojit","4994"
"504","opřít","4990"
"505","pronést","4989"
"506","odnést","4986"
"507","plakat","4950"
"508","varovat","4920"
"509","předvést","4885"
"510","klesat","4868"
"511","snižovat","4868"
"512","přerušit","4826"
"513","odložit","4824"
"514","stěžovat","4818"
"515","skládat","4816"
"516","vyplatit","4792"
"517","nasadit","4782"
"518","pokládat","4773"
"519","dýchat","4773"
"520","uniknout","4740"
"521","prosadit","4730"
"522","upozorňovat","4728"
"523","sebrat","4714"
"524","jevit","4706"
"525","oslovit","4697"
"526","potěšit","4696"
"527","požadovat","4690"
"528","vyvolávat","4687"
"529","vyrůst","4681"
"530","usnout","4673"
"531","kupovat","4673"
"532","dohodnout","4641"
"533","nastavit","4635"
"534","zlepšit","4614"
"535","vyloučit","4607"
"536","vykřiknout","4604"
"537","vypadnout","4603"
"538","pochybovat","4599"
"539","vybudovat","4582"
"540","soudit","4568"
"541","prožívat","4567"
"542","zaslechnout","4559"
"543","pohnout","4555"
"544","slavit","4548"
"545","zvedat","4542"
"546","kontrolovat","4528"
"547","usadit","4517"
"548","svědčit","4502"
"549","schválit","4490"
"550","investovat","4481"
"551","záviset","4469"
"552","složit","4459"
"553","vyvíjet","4459"
"554","prožít","4445"
"555","přivézt","4427"
"556","zašeptat","4426"
