"","lemma","transitive_rank","transitive_frequency","transitive_ipm","reflexive_rank","reflexive_frequency","reflexive_ipm","total_rank","total_frequency","total_ipm","refexivity"
"1847","napouštět",3442,76,0.753679881689712,3559,21,0.208253651519526,5635,123,1.21977138747151,0.170731707317073
"1848","napovídat",1697,271,2.68746378865674,3673,19,0.188419970422428,1352,1464,14.5182545630755,0.0129781420765027
"1849","napracovat",11995,2,0.0198336810970977,4738,10,0.0991684054854885,10165,18,0.178503129873879,0.555555555555556
"1850","naprášit",12756,1,0.00991684054854884,7792,2,0.0198336810970977,10356,16,0.158669448776782,0.125
"1851","naprat",8391,8,0.0793347243883908,6273,4,0.0396673621941954,7967,45,0.446257824684698,0.0888888888888889
"1852","napravit",835,705,6.99137258672694,1909,86,0.852848287175201,1203,1722,17.0767994246011,0.0499419279907085
"1853","napravovat",2498,144,1.42802503899103,2984,33,0.327255738102112,3596,313,3.10397109169579,0.105431309904153
"1854","naprdnout",15073,1,0.00991684054854884,9052,1,0.00991684054854884,12274,8,0.0793347243883908,0.125
"1855","naprogramovat",2908,106,1.05118509814618,5818,5,0.0495842027427442,3539,323,3.20313949718128,0.0154798761609907
"1856","naproklínat",14246,1,0.00991684054854884,11444,1,0.00991684054854884,19834,1,0.00991684054854884,1
"1857","naprosit",11812,2,0.0198336810970977,6048,5,0.0495842027427442,12936,6,0.0595010432912931,0.833333333333333
"1858","napružit",12278,2,0.0198336810970977,7999,2,0.0198336810970977,10966,13,0.128918927131135,0.153846153846154
"1859","napřáhnout",1284,397,3.93698569777389,2116,70,0.694178838398419,2659,534,5.29559285292508,0.131086142322097
"1860","napřahovat",3920,58,0.575176751815833,3879,17,0.16858628932533,6471,84,0.833014606078103,0.202380952380952
"1861","napřemýšlet",14049,1,0.00991684054854884,4673,10,0.0991684054854885,10746,14,0.138835767679684,0.714285714285714
"1862","napřímit",3389,79,0.783430403335359,473,772,7.65580090347971,1914,893,8.85573860985412,0.864501679731243
"1863","napřimovat",7992,9,0.0892515649369396,2835,37,0.366923100296307,7463,56,0.555343070718735,0.660714285714286
"1864","napřít",4121,52,0.51567570852454,3803,18,0.178503129873879,6501,83,0.823097765529554,0.216867469879518
"1865","napsat",50,7758,76.9348489756419,1322,172,1.7056965743504,83,22040,218.567165690017,0.00780399274047187
"1866","napudrovat",7315,12,0.119002086582586,6443,4,0.0396673621941954,9521,23,0.228087332616623,0.173913043478261
"1867","napůjčovat",9419,5,0.0495842027427442,11494,1,0.00991684054854884,9955,19,0.188419970422428,0.0526315789473684
"1868","napumpovat",3753,63,0.624760954558577,6562,4,0.0396673621941954,5472,133,1.318939792957,0.0300751879699248
"1869","napustit",2083,194,1.92386706641848,4196,14,0.138835767679684,3869,273,2.70729746975383,0.0512820512820513
"1870","narafičit",7431,11,0.109085246034037,8327,2,0.0198336810970977,7445,56,0.555343070718735,0.0357142857142857
"1871","narazit",917,617,6.11869061845464,2785,39,0.386756781393405,310,7934,78.6802129121865,0.00491555331484749
"1872","narážet",2212,178,1.76519761764169,3504,22,0.218170492068075,984,2257,22.3823091180747,0.00974745237040319
"1873","narodit",1691,272,2.69738062920529,42,8880,88.0615440711137,255,9620,95.4000060770399,0.923076923076923
"1874","nárokovat",2012,206,2.04286915300106,7962,2,0.0198336810970977,3491,330,3.27255738102112,0.00606060606060606
"1875","naroubovat",6564,17,0.16858628932533,4754,10,0.0991684054854885,7150,64,0.634677795107126,0.15625
"1876","narovnat",1196,439,4.35349300081294,406,921,9.13341014521349,1296,1558,15.4504375746391,0.591142490372272
"1877","narovnávat",4056,54,0.535509389621638,2774,40,0.396673621941954,5851,112,1.11068614143747,0.357142857142857
"1878","narukovat",9629,5,0.0495842027427442,11214,1,0.00991684054854884,4397,211,2.09245335574381,0.004739336492891
"1879","narůst",1746,261,2.58829538317125,8440,2,0.0198336810970977,1527,1239,12.286965439652,0.00161420500403551
"1880","narůstat",2021,204,2.02303547190396,6755,3,0.0297505216456465,1259,1615,16.0156974859064,0.00185758513931889
"1881","narušit",511,1268,12.5745538155599,1597,123,1.21977138747151,1069,2026,20.09151895136,0.06071076011846
"1882","narušovat",727,845,8.37973026352377,3011,32,0.317338897553563,1619,1136,11.2655308631515,0.028169014084507
"1883","narvat",4471,44,0.436340984136149,5647,6,0.0595010432912931,5008,162,1.60652816886491,0.037037037037037
"1884","narýsovat",3648,68,0.674345157301321,6185,4,0.0396673621941954,5972,106,1.05118509814618,0.0377358490566038
"1885","nařasit",9562,5,0.0495842027427442,7299,3,0.0297505216456465,10954,13,0.128918927131135,0.230769230769231
"1886","naředit",5643,25,0.247921013713721,4784,9,0.0892515649369396,6842,73,0.723929360044066,0.123287671232877
"1887","nařezat",3496,74,0.733846200592615,6200,4,0.0396673621941954,4336,218,2.16187123958365,0.018348623853211
"1888","nařezávat",7426,11,0.109085246034037,6141,4,0.0396673621941954,8284,39,0.386756781393405,0.102564102564103
"1889","nařídit",805,743,7.36821252757179,4358,12,0.119002086582586,774,3024,29.9885258188117,0.00396825396825397
"1890","naříkat",4761,38,0.376839940844856,6481,4,0.0396673621941954,1745,1032,10.2341794461024,0.00387596899224806
"1891","naříznout",3513,73,0.723929360044066,4931,9,0.0892515649369396,5365,139,1.37844083624829,0.0647482014388489
"1892","nařizovat",2739,119,1.18010402527731,3421,24,0.238004173165172,2481,596,5.91043696693511,0.0402684563758389
"1893","nařknout",4342,47,0.466091505781796,8243,2,0.0198336810970977,4476,203,2.01311863135542,0.00985221674876847
"1894","nasáčkovat",13429,1,0.00991684054854884,5815,5,0.0495842027427442,12054,9,0.0892515649369396,0.555555555555556
"1895","nasadit",171,3114,30.8810414681811,2303,60,0.595010432912931,517,4782,47.4223315031606,0.0125470514429109
"1896","nasáknout",4171,51,0.505758867975991,4428,12,0.119002086582586,4795,177,1.75528077709315,0.0677966101694915
"1897","nasakovat",10583,3,0.0297505216456465,9792,1,0.00991684054854884,11810,9,0.0892515649369396,0.111111111111111
"1898","nasát",1303,390,3.86756781393405,3981,15,0.148752608228233,2595,554,5.49392966389606,0.0270758122743682
"1899","nasávat",1431,350,3.4708941919921,4775,9,0.0892515649369396,2574,560,5.55343070718735,0.0160714285714286
"1900","nasazovat",1073,510,5.05758867975991,1984,79,0.783430403335359,1911,896,8.88548913149977,0.0881696428571429
"1901","nasbírat",1449,344,3.4113931487008,2961,34,0.337172578650661,1802,977,9.68875321593222,0.0348004094165814
"1902","nascanovat",4675,40,0.396673621941954,5923,5,0.0495842027427442,6342,89,0.882598808820847,0.0561797752808989
"1903","nasčítat",14615,1,0.00991684054854884,3602,21,0.208253651519526,9692,22,0.218170492068075,0.954545454545455
"1904","nasedat",5903,22,0.218170492068075,8134,2,0.0198336810970977,3508,327,3.24280685937547,0.00611620795107034
"1905","nasednout",4982,34,0.337172578650661,6009,5,0.0495842027427442,1418,1374,13.6257389137061,0.00363901018922853
"1906","nasekat",2279,170,1.6858628932533,5773,5,0.0495842027427442,3377,352,3.49072787308919,0.0142045454545455
"1907","naservírovat",2224,177,1.75528077709315,5130,8,0.0793347243883908,3381,351,3.48081103254064,0.0227920227920228
"1908","nashromáždit",2141,186,1.84453234203009,2056,74,0.733846200592615,2924,456,4.52207929013827,0.162280701754386
"1909","nasírat",10559,3,0.0297505216456465,8299,2,0.0198336810970977,12595,7,0.0694178838398419,0.285714285714286
"1910","nasít",9138,6,0.0595010432912931,8291,2,0.0198336810970977,8927,30,0.297505216456465,0.0666666666666667
"1911","naskakovat",5003,34,0.337172578650661,8469,2,0.0198336810970977,3579,316,3.13372161334143,0.00632911392405063
"1912","naskládat",2472,146,1.44785872008813,2535,49,0.485925186878893,3093,414,4.10557198709922,0.118357487922705
"1913","naskladnit",13213,1,0.00991684054854884,9125,1,0.00991684054854884,11157,12,0.119002086582586,0.0833333333333333
"1914","naskladňovat",11487,2,0.0198336810970977,6679,3,0.0297505216456465,13092,6,0.0595010432912931,0.5
"1915","naskočit",3620,69,0.68426199784987,7026,3,0.0297505216456465,1470,1306,12.9513937564048,0.00229709035222052
"1916","naskytat",12748,1,0.00991684054854884,6749,3,0.0297505216456465,14646,3,0.0297505216456465,1
"1917","naskýtat",4836,37,0.366923100296307,1144,218,2.16187123958365,4321,219,2.1717880801322,0.995433789954338
"1918","naskytnout",1749,260,2.5783785426227,356,1095,10.858940400661,1659,1104,10.9481919655979,0.991847826086957
"1919","naskytovat",8538,7,0.0694178838398419,4290,13,0.128918927131135,10929,13,0.128918927131135,1
"1920","následovat",144,3527,34.9766966147318,4114,14,0.138835767679684,212,11207,111.138032027587,0.00124921923797626
"1921","naslibovat",4932,35,0.34708941919921,10371,1,0.00991684054854884,6885,71,0.704095678946968,0.0140845070422535
"1922","naslinit",4241,49,0.485925186878893,10769,1,0.00991684054854884,7449,56,0.555343070718735,0.0178571428571429
"1923","naslouchat",2234,176,1.7453639365446,3955,16,0.158669448776782,664,3634,36.0377985534265,0.00440286186020914
"1924","nasmát",11655,2,0.0198336810970977,1377,161,1.59661132831636,4911,169,1.67594605270475,0.952662721893491
"1925","nasměrovat",1292,394,3.90723517612824,3358,25,0.247921013713721,2006,830,8.23097765529554,0.0301204819277108
"1926","nasměrovávat",10403,3,0.0297505216456465,9100,1,0.00991684054854884,12121,8,0.0793347243883908,0.125
"1927","nasmlouvat",5852,22,0.218170492068075,8886,1,0.00991684054854884,7199,62,0.614844114010028,0.0161290322580645
"1928","nasmlouvávat",13228,1,0.00991684054854884,8832,1,0.00991684054854884,15726,2,0.0198336810970977,0.5
"1929","nasněžit",11640,2,0.0198336810970977,10351,1,0.00991684054854884,7486,55,0.545426230170186,0.0181818181818182
"1930","nasnídat",15377,1,0.00991684054854884,1530,133,1.318939792957,5101,156,1.54702712557362,0.852564102564103
"1931","nasnímat",6010,21,0.208253651519526,11156,1,0.00991684054854884,8025,44,0.436340984136149,0.0227272727272727
"1932","násobit",2728,120,1.19002086582586,1865,90,0.892515649369396,3498,328,3.25272369992402,0.274390243902439
"1933","nasolit",7507,11,0.109085246034037,10531,1,0.00991684054854884,8799,32,0.317338897553563,0.03125
"1934","nasoukat",4625,41,0.406590462490503,1555,130,1.28918927131135,4463,204,2.02303547190396,0.637254901960784
"1935","nasouvat",14024,1,0.00991684054854884,4920,9,0.0892515649369396,11628,10,0.0991684054854885,0.9
"1936","naspat",8567,7,0.0694178838398419,7013,3,0.0297505216456465,6519,83,0.823097765529554,0.036144578313253
"1937","nasrat",6781,15,0.148752608228233,2344,57,0.565259911267284,4335,218,2.16187123958365,0.261467889908257
"1938","nastartovat",684,898,8.90532281259686,2003,77,0.763596722238261,1268,1603,15.8966953993238,0.0480349344978166
"1939","nastat",764,789,7.82438719280504,4517,11,0.109085246034037,283,8668,85.9591738748214,0.00126903553299492
"1940","nastávat",1823,241,2.38995857220027,8189,2,0.0198336810970977,1104,1940,19.2386706641848,0.00103092783505155
"1941","nastavět",6373,18,0.178503129873879,4821,9,0.0892515649369396,7566,53,0.525592549073089,0.169811320754717
"1942","nastavit",230,2580,25.585448615256,1460,146,1.44785872008813,533,4635,45.9645559425239,0.0314994606256742
"1943","nastavovat",1141,467,4.63116453617231,1486,143,1.41810819844248,2013,828,8.21114397419844,0.172705314009662
"1944","nastehovat",11201,2,0.0198336810970977,11055,1,0.00991684054854884,12840,6,0.0595010432912931,0.166666666666667
"1945","nastěhovat",3022,99,0.981767214306336,366,1047,10.3829320543306,1549,1213,12.0291275853897,0.863149216817807
"1946","nastínit",1543,313,3.10397109169579,8939,1,0.00991684054854884,2259,692,6.8624536595958,0.00144508670520231
"1947","nastolit",1255,409,4.05598778435648,4032,15,0.148752608228233,2492,593,5.88068644528946,0.0252951096121417
"1948","nastolovat",3495,74,0.733846200592615,5925,5,0.0495842027427442,5959,107,1.06110193869473,0.0467289719626168
"1949","nastoupit",849,692,6.8624536595958,4154,14,0.138835767679684,303,8108,80.405743167634,0.00172668968919586
"1950","nastražit",1872,231,2.29079016671478,5980,5,0.0495842027427442,3461,335,3.32214158376386,0.0149253731343284
"1951","nastrčit",4664,40,0.396673621941954,7216,3,0.0297505216456465,6524,82,0.813180924981005,0.0365853658536585
"1952","nastrkat",4630,41,0.406590462490503,6051,5,0.0495842027427442,5910,109,1.08093561979182,0.0458715596330275
"1953","nastrojit",6896,14,0.138835767679684,3170,29,0.287588375907917,7386,58,0.575176751815833,0.5
"1954","nastřádat",4902,36,0.357006259747758,3299,26,0.25783785426227,5118,154,1.52719344447652,0.168831168831169
"1955","nastřelit",2414,152,1.50735976337942,6525,4,0.0396673621941954,4784,178,1.76519761764169,0.0224719101123595
"1956","nastřelovat",10269,4,0.0396673621941954,10433,1,0.00991684054854884,12291,8,0.0793347243883908,0.125
"1957","nastřihat",4924,35,0.34708941919921,7902,2,0.0198336810970977,7945,45,0.446257824684698,0.0444444444444444
"1958","nastříhat",4198,50,0.495842027427442,7596,2,0.0198336810970977,6437,86,0.852848287175201,0.0232558139534884
"1959","nastřihnout",7321,12,0.119002086582586,6949,3,0.0297505216456465,9508,23,0.228087332616623,0.130434782608696
"1960","nastříkat",2604,131,1.2991061118599,3927,16,0.158669448776782,4149,239,2.37012489110317,0.0669456066945607
"1961","nastudit",13990,1,0.00991684054854884,6257,4,0.0396673621941954,13525,5,0.0495842027427442,0.8
"1962","nastudovat",1812,243,2.40979225329737,8928,1,0.00991684054854884,2926,456,4.52207929013827,0.00219298245614035
"1963","nastupovat",1946,217,2.1519543990351,2362,56,0.555343070718735,1019,2155,21.3707913821228,0.0259860788863109
"1964","nastydnout",10079,4,0.0396673621941954,3159,29,0.287588375907917,5237,146,1.44785872008813,0.198630136986301
"1965","nastýlat",11382,2,0.0198336810970977,8533,2,0.0198336810970977,12598,7,0.0694178838398419,0.285714285714286
"1966","nastylizovat",9529,5,0.0495842027427442,6909,3,0.0297505216456465,11173,12,0.119002086582586,0.25
"1967","nasunout",4831,37,0.366923100296307,3844,17,0.16858628932533,6782,75,0.743763041141163,0.226666666666667
"1968","nasunovat",11574,2,0.0198336810970977,7290,3,0.0297505216456465,13099,6,0.0595010432912931,0.5
"1969","nasušit",7798,10,0.0991684054854885,9241,1,0.00991684054854884,8656,34,0.337172578650661,0.0294117647058824
"1970","nasvěcovat",7685,10,0.0991684054854885,10305,1,0.00991684054854884,9987,19,0.188419970422428,0.0526315789473684
"1971","nasvědčovat",1884,228,2.26103964506914,6758,3,0.0297505216456465,1660,1103,10.9382751250494,0.00271985494106981
"1972","nasvětlit",8893,6,0.0595010432912931,10379,1,0.00991684054854884,10770,14,0.138835767679684,0.0714285714285714
"1973","nasvětlovat",15102,1,0.00991684054854884,7845,2,0.0198336810970977,12858,6,0.0595010432912931,0.333333333333333
"1974","nasvítit",4420,46,0.456174665233247,5836,5,0.0495842027427442,5919,109,1.08093561979182,0.0458715596330275
"1975","nasycovat",9960,4,0.0396673621941954,10687,1,0.00991684054854884,12465,7,0.0694178838398419,0.142857142857143
"1976","nasypat",1178,448,4.44274456574988,2951,34,0.337172578650661,1962,860,8.52848287175201,0.0395348837209302
"1977","nasypávat",15199,1,0.00991684054854884,9711,1,0.00991684054854884,16036,2,0.0198336810970977,0.5
"1978","nasytit",2775,117,1.16027034418021,1297,178,1.76519761764169,2732,507,5.02783815811426,0.351084812623274
"1979","našetřit",4296,48,0.476008346330345,9883,1,0.00991684054854884,3894,269,2.66763010755964,0.00371747211895911
"1980","našívat",8170,8,0.0793347243883908,7006,3,0.0297505216456465,10429,16,0.158669448776782,0.1875
"1981","našlapat",10729,3,0.0297505216456465,6043,5,0.0495842027427442,8686,33,0.327255738102112,0.151515151515152
"1982","našlapovat",7207,12,0.119002086582586,7224,3,0.0297505216456465,3767,285,2.82629955633642,0.0105263157894737
"1983","našlehat",5326,29,0.287588375907917,7609,2,0.0198336810970977,7868,47,0.466091505781796,0.0425531914893617
"1984","našňupnout",11032,3,0.0297505216456465,11388,1,0.00991684054854884,13671,5,0.0495842027427442,0.2
"1985","našponovat",14622,1,0.00991684054854884,7956,2,0.0198336810970977,15508,3,0.0297505216456465,0.666666666666667
"1986","našprtat",11710,2,0.0198336810970977,5483,6,0.0595010432912931,11697,10,0.0991684054854885,0.6
"1987","našpulit",1813,242,2.39987541274882,5149,8,0.0793347243883908,4055,250,2.47921013713721,0.032
"1988","našrotit",14090,1,0.00991684054854884,8197,2,0.0198336810970977,16185,2,0.0198336810970977,1
"1989","našroubovat",5812,23,0.228087332616623,6825,3,0.0297505216456465,8093,42,0.416507303039051,0.0714285714285714
"1990","naštětit",15007,1,0.00991684054854884,7259,3,0.0297505216456465,15235,3,0.0297505216456465,1
"1991","naštípnout",7808,10,0.0991684054854885,6953,3,0.0297505216456465,10655,15,0.148752608228233,0.2
"1992","naštvat",1932,218,2.16187123958365,751,395,3.91715201667679,1591,1166,11.563036079608,0.338765008576329
"1993","natáčet",722,849,8.41939762571797,632,506,5.01792131756572,998,2213,21.9459681339386,0.228648892905558
"1994","natáhnout",161,3240,32.1305633772983,206,2070,20.5278599354961,422,5978,59.282872799225,0.346269655403145
"1995","natahovat",861,675,6.69386737027047,672,469,4.65099821726941,1448,1332,13.2092316106671,0.352102102102102
"1996","natankovat",4291,48,0.476008346330345,8449,2,0.0198336810970977,5151,152,1.50735976337942,0.0131578947368421
"1997","natavit",11303,2,0.0198336810970977,6692,3,0.0297505216456465,11275,11,0.109085246034037,0.272727272727273
"1998","natěsnat",10376,3,0.0297505216456465,5353,7,0.0694178838398419,7926,46,0.456174665233247,0.152173913043478
"1999","natírat",2244,175,1.73544709599605,2141,68,0.674345157301321,3246,376,3.72873204625437,0.180851063829787
"2000","natisknout",4221,50,0.495842027427442,6787,3,0.0297505216456465,6204,95,0.94209985211214,0.0315789473684211
"2001","natlačit",5169,32,0.317338897553563,2529,49,0.485925186878893,5200,149,1.47760924173378,0.328859060402685
"2002","natlakovat",10636,3,0.0297505216456465,8126,2,0.0198336810970977,12673,7,0.0694178838398419,0.285714285714286
"2003","natlouci",5268,30,0.297505216456465,7300,3,0.0297505216456465,6234,93,0.922266171015043,0.032258064516129
"2004","natloukat",13817,1,0.00991684054854884,9417,1,0.00991684054854884,15130,3,0.0297505216456465,0.333333333333333
"2005","natočit",278,2255,22.3624754369776,1029,255,2.52879433987996,567,4349,43.1283395456389,0.0586341687744309
"2006","natravovat",11334,2,0.0198336810970977,10643,1,0.00991684054854884,14576,3,0.0297505216456465,0.333333333333333
"2007","natrefit",6850,14,0.138835767679684,7821,2,0.0198336810970977,4660,187,1.85444918257863,0.0106951871657754
"2008","natrénovat",4460,45,0.446257824684698,6140,4,0.0396673621941954,4865,173,1.71561341489895,0.023121387283237
"2009","natrhat",2610,130,1.28918927131135,8513,2,0.0198336810970977,3986,258,2.5585448615256,0.00775193798449612
"2010","natrhávat",12987,1,0.00991684054854884,11346,1,0.00991684054854884,15908,2,0.0198336810970977,0.5
"2011","natrhnout",3118,93,0.922266171015043,4866,9,0.0892515649369396,5518,130,1.28918927131135,0.0692307692307692
"2012","natřásat",4444,45,0.446257824684698,1723,106,1.05118509814618,4884,171,1.69577973380185,0.619883040935672
"2013","natřít",1602,297,2.94530164291901,2815,38,0.376839940844856,2184,734,7.27896096263485,0.0517711171662125
"2014","naťuknout",7091,13,0.128918927131135,7502,2,0.0198336810970977,9368,25,0.247921013713721,0.08
"2015","naturalizovat",12623,1,0.00991684054854884,6898,3,0.0297505216456465,12080,8,0.0793347243883908,0.375
"2016","naučit",323,1957,19.4072569535101,45,8801,87.2781136677784,168,13345,132.340237120384,0.65949793930311
"2017","naúčtovat",4143,52,0.51567570852454,9088,1,0.00991684054854884,5748,118,1.17018718472876,0.00847457627118644
"2018","navádět",3094,95,0.94209985211214,7169,3,0.0297505216456465,4038,252,2.49904381823431,0.0119047619047619
"2019","navalit",4990,34,0.337172578650661,3021,32,0.317338897553563,6665,78,0.77351356278681,0.41025641025641
"2020","navalovat",12506,2,0.0198336810970977,5229,7,0.0694178838398419,12359,8,0.0793347243883908,0.875
"2021","navařit",4227,50,0.495842027427442,5706,6,0.0595010432912931,5047,159,1.57677764721927,0.0377358490566038
"2022","navařovat",13174,1,0.00991684054854884,7768,2,0.0198336810970977,14319,4,0.0396673621941954,0.5
"2023","navát",7187,13,0.128918927131135,10302,1,0.00991684054854884,9216,27,0.267754694810819,0.037037037037037
"2024","navázat",400,1554,15.4107702124449,1710,107,1.06110193869473,629,3888,38.5566760527579,0.0275205761316872
"2025","navazovat",824,717,7.11037467330952,2308,59,0.585093592364382,778,3007,29.8199395294864,0.0196208846025939
"2026","navážet",6327,18,0.178503129873879,1847,93,0.922266171015043,5610,124,1.22968822802006,0.75
"2027","navážit",5367,29,0.287588375907917,2880,36,0.357006259747758,5870,111,1.10076930088892,0.324324324324324
"2028","navečeřet",12758,1,0.00991684054854884,1859,91,0.902432489917945,6044,102,1.01151773595198,0.892156862745098
"2029","naverbovat",5151,32,0.317338897553563,3213,28,0.277671535359368,5432,135,1.33877347405409,0.207407407407407
"2030","navěsit",5928,22,0.218170492068075,5088,8,0.0793347243883908,7134,64,0.634677795107126,0.125
"2031","navést",2837,111,1.10076930088892,6065,5,0.0495842027427442,3581,315,3.12380477279289,0.0158730158730159
"2032","navěšovat",10765,3,0.0297505216456465,9903,1,0.00991684054854884,13484,5,0.0495842027427442,0.2
"2033","navézt",4213,50,0.495842027427442,2931,35,0.34708941919921,5676,121,1.19993770637441,0.289256198347107
"2034","navigovat",4299,48,0.476008346330345,4841,9,0.0892515649369396,4356,216,2.14203755848655,0.0416666666666667
"2035","navíjet",4852,37,0.366923100296307,3508,22,0.218170492068075,6516,83,0.823097765529554,0.265060240963855
"2036","navinout",6527,17,0.16858628932533,4942,8,0.0793347243883908,7149,64,0.634677795107126,0.125
"2037","navléci",3265,85,0.842931446626652,3922,16,0.158669448776782,4583,194,1.92386706641848,0.0824742268041237
"2038","navlékat",2505,143,1.41810819844248,2840,37,0.366923100296307,4036,252,2.49904381823431,0.146825396825397
"2039","navléknout",1148,463,4.59149717397811,2394,55,0.545426230170186,2152,750,7.43763041141163,0.0733333333333333
"2040","navlhčit",2929,105,1.04126825759763,5792,5,0.0495842027427442,4886,171,1.69577973380185,0.0292397660818713
"2041","navlíkat",7812,10,0.0991684054854885,7211,3,0.0297505216456465,10157,18,0.178503129873879,0.166666666666667
"2042","navlíknout",5464,27,0.267754694810819,4669,10,0.0991684054854885,6764,75,0.743763041141163,0.133333333333333
"2043","navnadit",5049,33,0.327255738102112,8593,2,0.0198336810970977,6522,82,0.813180924981005,0.024390243902439
"2044","navodit",1249,412,4.08573830600212,6021,5,0.0495842027427442,2858,474,4.70058242001215,0.0105485232067511
"2045","navolit",3037,97,0.961933533209238,11177,1,0.00991684054854884,5294,142,1.40819135789394,0.00704225352112676
"2046","navonět",10894,3,0.0297505216456465,3401,24,0.238004173165172,7497,55,0.545426230170186,0.436363636363636
"2047","navozit",6987,14,0.138835767679684,8809,1,0.00991684054854884,8884,31,0.307422057005014,0.032258064516129
"2048","navozovat",1256,409,4.05598778435648,5509,6,0.0595010432912931,2867,471,4.67083189836651,0.0127388535031847
"2049","navracet",3793,62,0.614844114010028,1168,213,2.1122870368409,3576,317,3.14363845388998,0.67192429022082
"2050","navrátit",2300,167,1.65611237160766,967,281,2.78663219414223,2454,612,6.06910641571189,0.459150326797386
"2051","navrčet",13079,1,0.00991684054854884,7512,2,0.0198336810970977,15659,2,0.0198336810970977,1
"2052","navrhnout",208,2825,28.0150745496505,3310,26,0.25783785426227,275,8965,88.9044755177404,0.00290016731734523
"2053","navrhovat",472,1354,13.4274021027351,1562,129,1.2792724307628,615,4037,40.0342852944917,0.0319544216001982
"2054","navrstvit",5373,29,0.287588375907917,4983,8,0.0793347243883908,7652,51,0.505758867975991,0.156862745098039
"2055","navrstvovat",14768,1,0.00991684054854884,7108,3,0.0297505216456465,14056,4,0.0396673621941954,0.75
"2056","navršit",3454,75,0.743763041141163,3271,27,0.267754694810819,4969,165,1.63627869051056,0.163636363636364
"2057","navršovat",12169,2,0.0198336810970977,10515,1,0.00991684054854884,14943,3,0.0297505216456465,0.333333333333333
"2058","navrtat",5693,24,0.238004173165172,6506,4,0.0396673621941954,7201,62,0.614844114010028,0.0645161290322581
"2059","navrtávat",7723,10,0.0991684054854885,6423,4,0.0396673621941954,10417,16,0.158669448776782,0.25
"2060","navštěvovat",335,1890,18.7428286367573,1643,116,1.15035350363167,700,3388,33.5982557784835,0.0342384887839433
"2061","navštívit",98,4925,48.8404397016031,3160,29,0.287588375907917,281,8721,86.4847664238945,0.00332530673087949
"2062","navykládat",7420,11,0.109085246034037,6242,4,0.0396673621941954,6773,75,0.743763041141163,0.0533333333333333
"2063","navyknout",7584,11,0.109085246034037,7004,3,0.0297505216456465,4676,186,1.84453234203009,0.0161290322580645
"2064","navyprávět",9596,5,0.0495842027427442,7213,3,0.0297505216456465,10156,18,0.178503129873879,0.166666666666667
"2065","navýšit",942,598,5.93027064803221,1494,141,1.39827451734539,1858,937,9.29207959399027,0.150480256136606
"2066","navyšovat",1909,223,2.21145544232639,2103,70,0.694178838398419,3487,331,3.28247422156967,0.211480362537764
"2067","navztekat",11773,2,0.0198336810970977,5690,6,0.0595010432912931,10232,17,0.16858628932533,0.352941176470588
"2068","nazdobit",4739,39,0.386756781393405,6597,4,0.0396673621941954,7174,63,0.624760954558577,0.0634920634920635
"2069","nazdvihnout",6522,17,0.16858628932533,7086,3,0.0297505216456465,9907,20,0.198336810970977,0.15
"2070","nazdvihovat",12212,2,0.0198336810970977,9685,1,0.00991684054854884,13337,5,0.0495842027427442,0.2
"2071","nazírat",4495,44,0.436340984136149,4597,10,0.0991684054854885,4955,166,1.64619553105911,0.0602409638554217
"2072","nazkoušet",5196,31,0.307422057005014,5501,6,0.0595010432912931,6935,70,0.694178838398419,0.0857142857142857
"2073","nazlobit",9895,4,0.0396673621941954,5035,8,0.0793347243883908,9850,20,0.198336810970977,0.4
"2074","naznačit",808,740,7.33846200592615,3404,24,0.238004173165172,620,3992,39.588027469807,0.00601202404809619
"2075","naznačovat",573,1099,10.8986077628552,2950,34,0.337172578650661,597,4148,41.1350545953806,0.00819672131147541
"2076","naznat",9950,4,0.0396673621941954,10535,1,0.00991684054854884,7812,48,0.476008346330345,0.0208333333333333
"2077","nazout",2377,157,1.55694396612217,6076,5,0.0495842027427442,4536,198,1.96353442861267,0.0252525252525253
"2078","nazouvat",5002,34,0.337172578650661,8235,2,0.0198336810970977,8366,38,0.376839940844856,0.0526315789473684
"2079","nazvat",543,1182,11.7217055283847,2369,56,0.555343070718735,644,3801,37.6939109250342,0.0147329650092081
"2080","nazvedat",13682,1,0.00991684054854884,9301,1,0.00991684054854884,14134,4,0.0396673621941954,0.25
"2081","nazvednout",7915,9,0.0892515649369396,5948,5,0.0495842027427442,10581,15,0.148752608228233,0.333333333333333
"2082","nazvětšovat",13386,1,0.00991684054854884,10883,1,0.00991684054854884,13800,4,0.0396673621941954,0.25
"2083","nazývat",352,1794,17.7908119440966,163,2577,25.5556980936104,353,6973,69.1501291450311,0.369568335006453
"2084","nažehlit",7537,11,0.109085246034037,7572,2,0.0198336810970977,8545,35,0.34708941919921,0.0571428571428571
"2085","nažhavit",6225,19,0.188419970422428,4674,10,0.0991684054854885,7620,52,0.51567570852454,0.192307692307692
"2086","nažrat",10754,3,0.0297505216456465,1941,82,0.813180924981005,5831,113,1.12060298198602,0.725663716814159
"2087","nedostávat",7875,9,0.0892515649369396,913,305,3.0246363673074,3641,306,3.03455320785595,0.996732026143791
"2088","negovat",4329,47,0.466091505781796,8579,2,0.0198336810970977,6712,76,0.753679881689712,0.0263157894736842
"2089","nechat",34,9632,95.5190081636225,80,5305,52.6088391100516,22,54787,543.313943133346,0.096829539854345
