order,lemma,frequency
"274","prokázat","2273"
"275","požádat","2269"
"276","uspořádat","2265"
"277","opakovat","2255"
"278","natočit","2255"
"279","zavolat","2237"
"280","rozdělit","2229"
"281","odnést","2228"
"282","zasáhnout","2219"
"283","učit","2216"
"284","sdílet","2210"
"285","přivézt","2208"
"286","obrátit","2199"
"287","vysvětlovat","2199"
"288","splňovat","2198"
"289","uvolnit","2190"
"290","užít","2190"
"291","vykonávat","2188"
"292","spojovat","2183"
"293","objednat","2173"
"294","přerušit","2163"
"295","ovládnout","2143"
"296","stavět","2141"
"297","vědět","2127"
"298","uložit","2122"
"299","patřit","2110"
"300","projít","2109"
"301","vyjít","2109"
"302","zlepšit","2104"
"303","vyhlásit","2093"
"304","mluvit","2089"
"305","uslyšet","2087"
"306","oznámit","2086"
"307","otočit","2066"
"308","požadovat","2064"
"309","realizovat","2063"
"310","zapálit","2048"
"311","sehrát","2041"
"312","odpovídat","2039"
"313","provozovat","2036"
"314","ucítit","2000"
"315","umístit","1999"
"316","dokázat","1989"
"317","přesvědčit","1989"
"318","zahrát","1984"
"319","spojit","1981"
"320","opouštět","1974"
"321","chytit","1966"
"322","konat","1962"
"323","naučit","1957"
"324","nechávat","1952"
"325","proměnit","1951"
"326","zvedat","1949"
"327","vyslovit","1949"
"328","zveřejnit","1942"
"329","strčit","1926"
"330","skrývat","1922"
"331","sevřít","1921"
"332","určovat","1911"
"333","počítat","1904"
"334","respektovat","1890"
"335","navštěvovat","1890"
"336","hlídat","1890"
"337","zastávat","1889"
"338","komentovat","1888"
"339","definovat","1887"
"340","dovolit","1886"
"341","posílit","1879"
"342","provázet","1870"
"343","předložit","1866"
"344","svírat","1862"
"345","utrpět","1861"
"346","přicházet","1845"
"347","ukrást","1836"
"348","ponechat","1823"
"349","nalít","1813"
"350","pracovat","1801"
"351","objevovat","1795"
"352","nazývat","1794"
"353","vystudovat","1785"
"354","dodržovat","1785"
"355","sedět","1781"
"356","budovat","1764"
"357","pokládat","1764"
"358","bránit","1759"
"359","pokrývat","1753"
"360","ležet","1753"
"361","vyvinout","1748"
"362","proběhnout","1748"
"363","oslavit","1746"
"364","vyrazit","1743"
"365","zkusit","1740"
"366","končit","1736"
"367","vypnout","1724"
"368","doplňovat","1721"
"369","zlomit","1714"
"370","předpokládat","1707"
"371","odvést","1706"
"372","odrážet","1705"
"373","ušetřit","1698"
"374","táhnout","1692"
"375","zpívat","1691"
"376","nabrat","1675"
"377","oslovit","1670"
"378","přitáhnout","1666"
"379","zakrýt","1665"
"380","doprovázet","1660"
"381","zařadit","1639"
"382","rozvíjet","1636"
"383","měřit","1627"
"384","vyndat","1624"
"385","přejít","1621"
"386","vybavit","1621"
"387","dopřát","1618"
"388","budit","1613"
"389","pozvat","1611"
"390","slibovat","1608"
"391","obnovit","1599"
"392","obdivovat","1599"
"393","připadat","1588"
"394","chodit","1585"
"395","informovat","1578"
"396","vyžádat","1577"
"397","zkoušet","1577"
"398","uskutečnit","1562"
"399","spáchat","1555"
"400","navázat","1554"
"401","rozhodnout","1554"
"402","posunout","1550"
"403","charakterizovat","1533"
"404","chovat","1533"
"405","sestavit","1532"
"406","prodloužit","1528"
"407","zopakovat","1526"
"408","zkontrolovat","1525"
"409","zvládat","1524"
"410","chybět","1524"
"411","postrádat","1524"
"412","pokrýt","1524"
"413","projevovat","1521"
"414","zapnout","1519"
"415","potvrzovat","1518"
"416","vycházet","1498"
"417","zdobit","1498"
"418","fungovat","1497"
"419","odehrát","1496"
"420","vyhledat","1487"
"421","probudit","1486"
"422","prosadit","1485"
"423","zažívat","1475"
"424","jmenovat","1473"
"425","trápit","1472"
"426","vypít","1466"
"427","dosahovat","1466"
"428","lákat","1464"
"429","házet","1459"
"430","odvézt","1455"
"431","potěšit","1454"
"432","vzbuzovat","1454"
"433","doporučovat","1454"
"434","zařídit","1445"
"435","překvapit","1444"
"436","připojit","1442"
"437","chybit","1442"
"438","srovnat","1438"
"439","lámat","1435"
"440","pociťovat","1430"
"441","vyslat","1425"
"442","uvědomovat","1423"
"443","uvědomit","1415"
"444","potlačit","1414"
"445","omezovat","1411"
"446","zpracovat","1409"
"447","umět","1409"
"448","přiložit","1408"
"449","ohrožovat","1404"
"450","rozbít","1401"
"451","zadržet","1400"
"452","jevit","1400"
"453","vařit","1389"
"454","skládat","1388"
"455","kritizovat","1383"
"456","vypracovat","1382"
"457","vystřídat","1376"
"458","vynést","1375"
"459","bývat","1375"
"460","sklopit","1374"
"461","volat","1372"
"462","strhnout","1369"
"463","upravovat","1369"
"464","přitahovat","1367"
"465","obejít","1366"
"466","přiblížit","1365"
"467","vyplnit","1363"
"468","odvrátit","1361"
"469","bavit","1360"
"470","poškodit","1360"
"471","otřít","1358"
"472","navrhovat","1354"
"473","přidávat","1347"
"474","uchopit","1347"
"475","reprezentovat","1336"
"476","nenávidět","1332"
"477","postihnout","1332"
"478","zadat","1326"
"479","dosáhnout","1325"
"480","prosazovat","1321"
"481","přimět","1320"
"482","povolit","1318"
"483","stačit","1315"
"484","pozvednout","1314"
"485","prozradit","1313"
"486","zmínit","1313"
"487","půjčit","1309"
"488","rozumět","1309"
"489","udělit","1308"
"490","vlastnit","1308"
"491","přitisknout","1306"
"492","vyzvat","1306"
"493","prosit","1300"
"494","sdělit","1295"
"495","vyvíjet","1295"
"496","zaujímat","1295"
"497","čerpat","1294"
"498","pěstovat","1292"
"499","uvařit","1292"
"500","ohrozit","1286"
"501","vrhnout","1279"
"502","předvádět","1277"
"503","vyhodit","1275"
"504","rozšiřovat","1273"
"505","předávat","1270"
"506","vyslechnout","1270"
"507","porušit","1270"
"508","prezentovat","1269"
"509","přivítat","1269"
"510","vysílat","1268"
"511","narušit","1268"
"512","zabrat","1268"
"513","posilovat","1267"
"514","přenést","1257"
"515","doporučit","1256"
"516","vracet","1252"
"517","srazit","1249"
"518","připsat","1249"
"519","snést","1242"
"520","vynechat","1242"
"521","jet","1234"
"522","shánět","1231"
"523","tisknout","1230"
"524","prohrát","1229"
"525","zapomenout","1228"
"526","vybojovat","1225"
"527","procházet","1222"
"528","organizovat","1220"
"529","uplatnit","1216"
"530","šetřit","1215"
"531","opravit","1215"
"532","ignorovat","1213"
"533","minout","1210"
"534","vyhledávat","1207"
"535","vznikat","1207"
"536","stavit","1195"
"537","dopadnout","1193"
"538","pouštět","1188"
"539","vyloučit","1186"
"540","zvažovat","1184"
"541","vylepšit","1184"
"542","dojít","1183"
"543","nazvat","1182"
"544","odhadnout","1179"
"545","dělit","1178"
"546","sníst","1160"
"547","ukládat","1158"
"548","zakázat","1158"
"549","přiznat","1152"
"550","usnadnit","1151"
"551","točit","1148"
"552","přenášet","1148"
"553","dozvědět","1147"
"554","otvírat","1145"
"555","zakrývat","1144"
"556","zavírat","1144"
"557","schovat","1143"
"558","produkovat","1142"
"559","odhodit","1141"
"560","vymýšlet","1135"
"561","jezdit","1121"
"562","odstartovat","1119"
"563","zřídit","1112"
"564","zaplnit","1110"
"565","identifikovat","1109"
"566","pronést","1108"
"567","pokračovat","1107"
"568","shrnout","1106"
"569","převést","1106"
"570","dorazit","1106"
"571","rušit","1105"
"572","hájit","1103"
"573","naznačovat","1099"
"574","dodržet","1097"
"575","rozpoznat","1091"
"576","šířit","1088"
"577","přebírat","1086"
"578","vyčistit","1086"
"579","přejet","1085"
"580","sklonit","1085"
"581","podstoupit","1085"
"582","upoutat","1083"
"583","uzavírat","1079"
"584","sepsat","1077"
"585","svěřit","1067"
"586","ničit","1064"
"587","rozeznat","1063"
"588","analyzovat","1058"
"589","zachovávat","1058"
"590","zpracovávat","1056"
"591","zabírat","1055"
"592","upřít","1052"
"593","uvažovat","1050"
"594","dovést","1049"
"595","přesahovat","1047"
"596","zdůrazňovat","1047"
"597","vítat","1042"
"598","vyzvednout","1041"
"599","projet","1041"
"600","líčit","1041"
"601","vypustit","1040"
"602","vytahovat","1038"
"603","pojmout","1036"
"604","vrhat","1036"
"605","upírat","1032"
"606","zastupovat","1029"
"607","přilákat","1028"
"608","vstřelit","1024"
"609","bolet","1022"
"610","střídat","1020"
"611","oživit","1019"
"612","zůstávat","1018"
"613","podniknout","1017"
"614","zbavit","1017"
"615","čistit","1015"
"616","zachycovat","1013"
"617","komplikovat","1010"
"618","odvádět","1008"
"619","počkat","1005"
"620","spouštět","1005"
"621","růst","1002"
"622","trefit","1002"
"623","stihnout","1002"
"624","zhodnotit","999"
"625","aplikovat","998"
"626","uznat","996"
"627","trénovat","995"
"628","vydělat","995"
"629","pomoci","990"
"630","spravovat","987"
"631","podařit","982"
"632","nahrazovat","978"
"633","přesunout","977"
"634","vytrhnout","974"
"635","míjet","974"
"636","vysloužit","971"
"637","nabírat","969"
"638","odhalovat","968"
"639","zakládat","962"
"640","zakoupit","961"
"641","kombinovat","961"
"642","vzdát","961"
"643","ujít","961"
"644","ozvat","960"
"645","poznávat","957"
"646","zapsat","955"
"647","hlásit","954"
"648","ochránit","952"
"649","zaznamenávat","952"
"650","vyšetřovat","950"
"651","darovat","950"
"652","upozornit","948"
"653","zdvihnout","945"
"654","zahnat","945"
"655","políbit","945"
"656","udávat","938"
"657","zeptat","935"
"658","zobrazit","932"
"659","vykládat","932"
"660","nakupovat","931"
"661","zaplavit","930"
"662","tlačit","928"
"663","zlepšovat","924"
"664","hrozit","924"
"665","preferovat","919"
"666","probírat","918"
"667","znít","918"
"668","vozit","916"
"669","zakončit","916"
"670","prozkoumat","915"
"671","odevzdat","915"
"672","vystavit","914"
"673","obléknout","914"
"674","přehodit","913"
"675","nutit","912"
"676","vykonat","911"
"677","změřit","910"
"678","vážit","909"
"679","unést","907"
"680","publikovat","905"
"681","investovat","903"
"682","ohlásit","899"
"683","zmírnit","898"
"684","nastartovat","898"
"685","přivolat","896"
"686","ověřit","895"
"687","uchovat","888"
"688","přizpůsobit","887"
"689","donést","886"
"690","zaručovat","885"
"691","nakoupit","884"
"692","naplňovat","882"
"693","rozlišovat","881"
"694","uplatňovat","879"
"695","obhájit","879"
"696","poslechnout","878"
"697","podržet","875"
"698","vyřídit","874"
"699","odpustit","868"
"700","věřit","867"
"701","rozdávat","865"
"702","zobrazovat","864"
"703","léčit","864"
"704","spát","863"
"705","ochutnat","863"
"706","vrazit","862"
"707","vychutnávat","862"
"708","zapojit","860"
"709","financovat","860"
"710","viset","859"
"711","překračovat","859"
"712","posuzovat","859"
"713","formulovat","858"
"714","zhasnout","858"
"715","pojmenovat","858"
